"PURCHASEID","COMPONENTID","PRICEPAID","QUANTITY","QUANTITYRECEIVED"
247,503000,26.39,19,19
247,304000,19.4,6,6
247,501000,86.49,8,8
247,405000,72.02,13,13
247,404000,67.03,7,7
247,403000,111.96,18,18
247,402000,136.43,26,26
247,401000,197.53,9,9
247,504000,20.82,7,7
248,1410000,212.82,14,14
248,1411000,211.34,44,44
248,1412000,210.42,4,4
248,1507000,120.66,19,19
249,1506000,125.13,9,9
250,911000,36.05,5,5
250,912000,25.24,27,27
250,913000,25.96,3,3
250,901000,50.3,13,13
250,902500,32.16,7,7
250,910000,37.38,9,9
251,1801000,16.15,27,27
251,1811000,15.12,14,14
251,1812000,16.67,29,29
251,1813000,15.51,6,6
251,1815000,16.26,54,54
251,1816000,16.81,37,37
252,506000,167.82,4,4
252,1704000,249.1,14,14
252,1604000,169.81,14,14
252,807000,41.52,4,4
252,608000,163.36,4,4
252,423000,46.71,3,3
252,307000,399.38,4,4
252,708000,59.92,3,3
253,1204000,61.25,14,14
254,1201000,22.92,15,15
255,1105000,10.23,20,20
255,1015000,7.34,19,19
255,1503000,13.18,7,7
255,1107000,10.68,6,6
255,1106000,9.89,15,15
255,1016000,6.93,29,29
255,914000,10.66,19,19
255,1104000,10.07,3,3
255,1103000,10.61,29,29
256,1509000,84.09,26,26
257,1013000,36.37,4,4
257,1001000,30.99,7,7
257,1002000,28.56,13,13
257,1011000,34.59,15,15
258,1101000,32.49,9,9
258,811000,26.27,2,2
258,709000,50,6,6
258,609000,133.88,6,6
258,507000,119.34,6,6
258,424000,22.79,2,2
258,308000,97.74,5,5
258,106000,49.71,10,10
258,1102000,33.29,6,6
258,207000,40.14,10,10
259,1304000,13.59,9,9
259,1302000,7.22,23,23
260,1401000,243.12,13,13
260,1402000,233.5,7,7
261,1205000,34.06,4,4
261,1206000,32.69,27,27
261,1207000,9.65,20,20
261,1209000,10.08,7,7
262,410,374.37,9,9
262,420,543.5,5,5
262,350,305.51,8,8
262,340,280.75,5,5
262,220,243.3,3,3
262,240,238.99,2,2
262,230,192.38,11,11
262,320,298.87,4,4
263,540,801.77,7,7
263,610,353.99,8,8
263,530,751.09,3,3
264,804500,20.27,15,15
264,804000,18.82,33,33
264,801000,26.69,11,11
264,706000,13.25,49,49
264,704000,13.55,10,10
264,703000,13.08,19,19
264,605000,50.11,15,15
264,607500,106.59,19,19
264,606500,47.7,11,11
264,805000,27.12,19,19
264,1709000,110.1,18,18
264,701000,28.95,10,10
264,806000,15.26,10,10
264,1303000,11.28,58,58
264,1510000,116.51,10,10
264,1602000,87.7,32,32
264,1603000,56.28,16,16
264,1605400,91.05,18,18
264,1605600,38.14,11,11
264,1701110,115.13,6,6
264,1703000,69.43,15,15
264,1711000,45.08,10,10
264,604000,58.48,33,33
264,1504000,76.24,19,19
264,1702000,116.87,33,33
264,104300,33.23,19,19
264,1601000,89.9,5,5
264,102000,26.63,48,48
264,104000,29.11,16,16
264,201000,28.96,10,10
264,202000,12.42,33,33
264,203000,12.01,16,16
264,204800,11.86,11,11
264,205800,13.83,20,20
264,601000,116.87,11,11
264,301000,53.27,11,11
264,101000,47.18,10,10
264,302000,23.71,33,33
264,405000,72.46,19,19
264,504000,20.89,11,11
264,103500,16.23,11,11
264,503000,25.35,15,15
264,505000,39.48,19,19
264,303000,19.06,15,15
264,501000,94.69,11,11
264,404000,67.32,11,11
264,403000,110.78,15,15
264,402000,148.18,32,32
264,401000,185.62,10,10
264,305000,24.74,19,19
264,304000,18.61,11,11
264,502000,33.37,33,33
265,1412000,202.56,6,6
265,1507000,121.6,15,15
265,1410000,195.98,24,24
265,1411000,210.18,47,47
266,1506000,131.73,20,20
267,913000,25.98,6,6
267,901000,50,19,19
267,902500,31.41,11,11
267,910000,34.91,10,10
267,911000,36.41,14,14
267,912000,25.23,33,33
268,1816000,16.9,31,31
268,1815000,16.51,65,65
268,1813000,16.21,11,11
268,1812000,15.7,50,50
268,1801000,16.89,37,37
268,1811000,15.63,21,21
269,807000,43.65,5,5
269,307000,397.26,6,6
269,1704000,257.43,24,24
269,1604000,160.85,25,25
269,608000,154.49,6,6
269,506000,174.93,5,5
269,423000,47.22,6,6
269,708000,63.17,6,6
270,1204000,58.23,25,25
271,1201000,23.33,19,19
272,1105000,10.37,15,15
272,1503000,13.42,10,10
272,1106000,10.09,19,19
272,1104000,10.81,5,5
272,1103000,10.78,34,34
272,1016000,6.83,35,35
272,1015000,7.17,16,16
272,914000,11.09,15,15
272,1107000,10.25,10,10
273,1509000,86.93,32,32
274,1001000,29.53,10,10
274,1002000,31.08,20,20
274,1011000,35.33,25,25
274,1013000,34.73,6,6
275,106000,53.18,19,19
275,709000,49.09,14,14
275,1101000,31.62,11,11
275,1102000,33.89,14,14
275,811000,24.97,19,19
275,507000,117.99,13,13
275,424000,23.16,20,20
275,207000,38.56,19,19
275,308000,98.51,14,14
275,609000,131.8,13,13
276,1302000,7.41,30,30
276,1304000,12.53,20,20
277,1401000,232.76,19,19
277,1402000,239.82,11,11
278,1206000,32.48,33,33
278,1207000,9.75,15,15
278,1209000,9.95,10,10
278,1205000,33.22,5,5
279,340,292.46,4,4
279,320,302.48,7,7
279,420,529.06,12,12
279,410,397.67,6,6
2,704000,13,100,100
2,605000,49.4,100,100
2,804800,19.5,10,10
2,804500,19.5,100,100
2,804000,19.5,100,100
2,803000,27.95,10,10
2,801000,27.95,100,100
2,717000,32.5,10,10
2,707000,13,10,10
2,806000,14.95,100,100
2,705000,13,10,10
2,814000,39,10,5
2,703000,13,100,100
2,702000,29.25,10,10
2,701000,29.25,100,100
2,611000,169,10,10
2,607500,104,100,100
2,606500,45.5,100,100
2,606000,45.5,10,10
2,605500,49.4,10,10
2,706000,13,100,100
2,1605400,89.05,100,100
2,101000,49.4,100,100
2,1806000,16.9,10,10
2,1711000,44.85,100,100
2,1710000,107.25,10,10
2,1709000,107.25,100,100
2,1703000,71.5,100,100
2,1702000,113.75,100,100
2,1701110,113.75,100,100
2,805000,27.3,100,100
2,1605500,89.05,10,10
2,607000,104,10,10
2,1603000,58.5,100,100
2,1602000,89.05,100,100
2,1601000,89.05,100,100
2,1510000,113.1,100,100
2,1505000,97.5,10,10
2,1504000,78,100,94
2,1303000,11.05,100,100
2,815000,39,10,10
2,1605600,38.35,100,100
2,204000,11.7,10,10
2,303000,19.5,100,100
2,302000,24.7,100,100
2,604500,55.9,10,10
2,208500,31.2,10,7
2,607900,104,10,10
2,205800,14.3,100,100
2,205300,14.3,10,10
2,205000,14.3,10,10
2,304000,19.5,100,100
2,204300,11.7,10,3
2,301000,55.25,100,100
2,203000,11.7,100,100
2,202000,13,100,100
2,201000,29.9,100,100
2,104800,35.75,10,10
2,104300,32.5,100,100
2,104000,29.9,10,4
2,103500,16.25,100,100
2,103000,13,10,6
2,102000,26,100,100
2,204800,11.7,100,100
2,504000,20.8,100,86
2,603000,117,10,10
2,602000,117,10,10
2,601000,117,100,100
2,208000,31.2,10,10
2,604000,55.9,100,100
2,505000,39,100,100
2,509000,61.1,10,10
2,503000,26,100,100
2,502000,32.5,100,100
2,402000,141.7,100,100
2,305000,24.7,100,100
2,401000,195,100,100
2,501000,91,100,100
2,403000,110.5,100,100
2,404000,65,100,100
2,405000,74.75,100,90
2,406000,113.75,10,10
2,421000,32.5,10,10
2,422000,19.5,10,10
2,309000,55.25,10,10
3,1409000,204.75,100,100
3,1410000,204.75,100,100
3,1411000,204.75,100,100
3,1412000,204.75,100,96
3,1507000,120.25,100,100
3,1508000,162.5,100,100
4,1506000,130,100,100
5,913000,26,100,100
5,956000,19.5,10,10
5,1017000,29.9,10,10
5,912000,26,100,83
5,901000,48.75,100,100
5,910000,35.75,100,78
5,902500,32.5,100,100
5,901500,48.75,10,10
5,902000,32.5,10,10
5,911000,35.75,100,100
6,1812000,16.25,100,100
6,3002000,4.55,10,10
6,3001000,3.9,10,10
6,2003000,40.3,10,10
6,1816000,16.25,100,100
6,1815000,16.25,100,100
6,1813000,16.25,100,100
6,1707000,422.5,10,10
6,1814000,26,100,100
6,1605300,325,10,10
6,1811000,14.95,100,100
6,1708000,422.5,10,10
6,1801000,16.9,100,100
6,1809000,16.9,10,10
6,1810000,11.7,10,10
6,1605200,325,10,10
8,608900,157.95,10,10
8,306000,108.55,10,10
8,1704000,260,100,78
8,1604000,162.5,100,100
8,809000,42.9,10,10
8,808000,42.9,10,10
8,807000,42.9,100,100
8,708000,63.05,100,100
8,608000,157.95,100,100
8,506000,167.7,100,100
8,105000,62.4,10,10
8,307000,390,100,100
8,423000,45.5,100,100
8,206000,48.1,10,4
8,608500,157.95,10,10
9,1204000,60.45,100,100
9,1203000,89.7,100,100
10,1201000,22.75,100,100
10,1202000,22.75,10,10
11,1014000,7.15,10,10
11,1415000,19.5,10,10
11,1414000,19.5,10,10
11,1413000,19.5,10,10
11,1106000,10.4,100,100
11,1108000,10.4,10,10
11,1503000,13,100,100
11,1107000,10.4,100,99
11,1104000,10.4,100,100
11,1103000,10.4,100,100
11,1015000,7.15,100,100
11,915000,11.05,10,10
11,914000,11.05,100,100
11,903000,26,10,10
11,1016000,7.15,100,86
11,1105000,10.4,100,100
12,713000,61.75,10,10
12,1509000,83.2,100,100
12,1502000,48.75,10,10
12,716000,81.25,10,6
12,714000,81.25,10,9
12,712000,61.75,10,10
12,711000,61.75,10,10
12,610000,149.5,10,10
12,715000,81.25,10,10
15,1008000,29.9,10,10
15,1003000,29.9,10,10
15,1012000,35.75,100,100
15,1011000,35.75,100,100
15,1010000,35.75,10,10
15,1013000,35.75,100,73
15,1009000,29.9,10,10
15,1006000,29.9,10,10
15,1004000,29.9,10,10
15,1002000,29.9,100,100
15,1001000,29.9,100,100
15,1007000,29.9,10,4
15,1005000,29.9,10,10
16,1705000,227.5,100,100
16,810000,26,100,100
16,811000,26,10,10
16,812000,26,10,10
16,813000,26,10,10
16,1101000,32.5,100,100
16,1102000,32.5,100,100
16,1605100,195,10,10
16,1706000,227.5,10,10
16,609900,130,10,10
16,1605000,195,100,100
16,710000,48.75,10,10
16,609500,130,10,10
16,609000,130,100,100
16,507000,123.5,100,100
16,424000,22.75,10,10
16,407000,143,100,100
16,308000,97.5,100,88
16,207000,38.35,100,100
16,106000,50.7,100,100
16,709000,48.75,100,100
17,1302000,7.15,100,100
17,1304000,13,100,100
17,1301000,4.55,10,10
18,1416000,227.5,10,10
18,1402000,240.5,100,100
18,1403000,240.5,10,10
18,1404000,240.5,10,10
18,1405000,240.5,10,7
18,1406000,240.5,10,10
18,1407000,240.5,10,10
18,1408000,240.5,10,10
18,1401000,240.5,100,100
19,107800,58.5,10,10
19,508000,87.75,10,10
19,107000,58.5,10,10
19,107300,58.5,10,5
20,2101000,5.2,10,10
20,2102000,5.2,10,6
20,2103000,5.2,10,10
20,2104000,5.2,10,10
20,2105000,5.2,10,10
20,2106000,5.2,10,10
21,1820000,13,10,8
22,1802000,16.25,10,10
22,1803000,16.25,10,10
26,802000,27.95,10,10
27,955000,13,10,8
27,1501000,58.5,10,10
27,1807000,17.55,10,8
27,1808000,17.55,10,10
28,425000,35.75,10,10
28,425020,39,10,8
29,1208000,9.75,10,10
29,1207000,9.75,100,100
29,1206000,32.5,100,88
29,1205000,32.5,100,100
29,1209000,9.75,100,100
30,1817000,42.25,10,10
30,1818000,27.95,10,10
30,1819000,21.45,10,10
30,1821000,13.65,10,10
31,2001000,55.25,10,10
31,2002000,143,10,10
32,510000,143,10,10
32,431000,81.25,10,10
33,420,550,50,50
33,410,400,50,47
33,350,300,50,50
33,340,280,50,50
33,320,320,50,50
33,240,230,50,50
33,220,250,50,50
33,230,200,50,43
34,620,380,50,50
34,530,760,50,50
34,540,800,50,50
34,610,350,50,45
35,1805000,19.5,10,10
35,1804000,19.5,10,10
36,815000,39.85,20,20
36,1303000,11.05,56,56
36,717000,31.73,22,22
36,706000,13.19,4,4
36,611000,162.03,8,8
36,406000,110.6,11,11
36,309000,56.58,16,16
36,208000,31.38,22,22
36,104000,29.64,26,26
36,509000,63.36,15,15
37,1811000,14.7,2,2
38,903000,27.01,25,25
39,1302000,7.11,8,8
40,1416000,223.5,7,7
41,107000,59.26,16,16
42,102000,25.93,18,18
42,104000,29.2,10,10
42,706000,13.5,37,37
42,1303000,10.56,33,33
43,1813000,15.9,6,6
43,1815000,16.74,37,37
43,1801000,17.1,13,13
43,1816000,15.73,29,29
43,1811000,14.59,49,49
44,1015000,7.5,5,5
44,1016000,7.49,10,10
44,1107000,10.43,4,4
45,1302000,6.92,44,44
45,1304000,13.25,11,11
46,1209000,9.27,6,6
47,406000,108.84,1,1
47,1303000,11.45,36,36
47,806000,14.79,7,7
47,706000,12.45,27,27
47,704000,12.55,11,11
47,509000,59.33,1,1
47,309000,53.3,1,1
47,102000,25.07,27,27
47,204800,12.22,16,16
47,203000,11.95,7,7
47,104000,31.09,13,13
47,103500,16.92,4,4
47,611000,164.83,3,3
48,1411000,210.69,8,8
49,1815000,15.89,18,18
49,1813000,15.69,40,40
49,1801000,16.78,50,50
49,1816000,16.33,35,35
49,1811000,15.07,29,29
50,1105000,10.04,10,10
50,1503000,13.46,11,11
50,1107000,10.45,14,14
50,1106000,10.35,10,10
50,1016000,7.08,8,8
50,1015000,6.94,19,19
50,914000,10.88,8,8
50,1103000,10.27,5,5
51,1001000,29.01,7,7
52,106000,50.67,1,1
52,207000,39.44,6,6
53,1302000,7.21,37,37
53,1304000,13.21,24,24
54,1416000,228.37,2,2
55,1207000,9.77,13,13
55,1209000,9.54,14,14
56,804000,20.27,1,1
56,704000,12.57,16,16
56,611000,176.67,6,6
56,706000,13.42,23,23
56,717000,31.28,7,7
56,804500,19.08,3,3
56,806000,15.63,16,16
56,1605600,38.76,2,2
56,815000,39.44,7,7
56,1303000,11.3,40,40
56,509000,60.5,7,7
56,103500,15.79,17,17
56,203000,11.74,9,9
56,504000,21.71,15,15
56,202000,12.44,11,11
56,104000,30.68,8,8
56,204800,11.21,16,16
56,208000,32.58,7,7
56,303000,20.08,3,3
56,304000,20.23,16,16
56,309000,53.32,7,7
56,406000,113.55,7,7
56,102000,25.39,23,23
57,1411000,202.81,24,24
58,902500,31.1,5,5
59,1814000,25.64,8,8
59,1813000,16.59,9,9
59,1815000,16.95,26,26
59,1811000,14.57,33,33
59,1801000,17.33,28,28
59,1816000,16.38,20,20
59,1812000,16.92,16,16
60,1104000,10.86,2,2
60,1503000,13.53,16,16
60,1107000,10.04,17,17
60,1105000,10.1,10,10
60,1103000,10.57,13,13
60,1016000,6.99,13,13
60,1015000,7.34,9,9
60,914000,11.42,10,10
60,903000,24.91,6,6
60,1106000,10.64,15,15
61,1001000,29.53,23,23
62,106000,48.65,11,11
62,207000,36.64,11,11
63,1302000,7.08,23,23
63,1304000,13.51,10,10
64,1416000,228.96,7,7
65,107000,59.31,8,8
66,1209000,9.86,17,17
66,1207000,9.44,9,9
67,240,222.86,4,4
68,1504000,79.08,7,7
68,703000,12.48,6,6
68,704000,13.25,9,9
68,706000,12.42,27,27
68,717000,31.65,10,10
68,804000,20.09,17,17
68,804500,20.3,9,9
68,806000,15.14,9,9
68,606500,47.32,8,8
68,1303000,11.47,43,43
68,509000,62.16,10,10
68,1605400,85.44,6,6
68,1605600,38.04,9,9
68,1709000,103.99,3,3
68,1711000,44.2,9,9
68,815000,37.27,10,10
68,208000,32.48,10,10
68,102000,26.62,27,27
68,103500,16.72,9,9
68,104000,30.97,9,9
68,202000,12.4,18,18
68,203000,11.96,10,10
68,611000,161.22,9,9
68,205800,14.47,2,2
68,504000,21.12,9,9
68,302000,24.32,13,13
68,303000,19.71,9,9
68,304000,19.61,8,8
68,309000,53.66,10,10
68,404000,66.09,3,3
68,406000,110.37,9,9
68,502000,31.96,8,8
68,503000,25.79,6,6
68,204800,12,9,9
69,1411000,202.09,27,27
70,902500,34.02,9,9
70,912000,24.77,12,12
71,1814000,25.66,16,16
71,1815000,16.85,34,34
71,1816000,16.06,21,21
71,1812000,15.56,14,14
71,1801000,16.35,49,49
71,1811000,14.96,19,19
71,1813000,16.87,25,25
72,1107000,10.82,8,8
72,903000,26.79,10,10
72,1503000,13.63,9,9
72,1106000,10.45,26,26
72,1105000,10.17,9,9
72,1103000,9.9,17,17
72,1016000,7.49,18,18
72,1015000,7.32,9,9
72,914000,11.44,9,9
72,1104000,10.44,13,13
73,1001000,30.87,19,19
74,207000,38.51,20,20
74,106000,52.91,20,20
75,1302000,6.83,25,25
75,1304000,12.84,20,20
76,1416000,230.82,9,9
77,107000,55.93,9,9
78,1206000,31.93,8,8
78,1207000,10.07,9,9
78,1209000,9.67,7,7
79,230,202.95,8,8
79,350,292.8,8,8
79,320,287.77,7,7
79,240,218.83,6,6
80,1504000,75.61,14,14
80,611000,165.14,3,3
80,703000,13.61,11,11
80,704000,12.56,14,14
80,706000,13.54,25,25
80,717000,31.34,2,2
80,804000,19.85,14,14
80,804500,19.15,11,11
80,805000,28.17,1,1
80,806000,14.99,14,14
80,1303000,11.28,40,40
80,1602000,86.69,7,7
80,1603000,56.22,4,4
80,1605400,93.3,13,13
80,1605600,37.3,14,14
80,1702000,115,5,5
80,1703000,69.16,2,2
80,1709000,107.44,14,14
80,1711000,45.06,14,14
80,503000,25.88,11,11
80,606500,43.68,14,14
80,815000,38.99,2,2
80,309000,54.7,2,2
80,104000,29.51,7,7
80,202000,13.34,14,14
80,203000,11.22,10,10
80,204800,12.17,14,14
80,205800,15,11,11
80,208000,32.71,2,2
80,302000,25.31,14,14
80,303000,18.71,11,11
80,605000,51.29,6,6
80,305000,24.02,5,5
80,103500,16.7,14,14
80,402000,138.69,3,3
80,404000,65.37,14,14
80,406000,112.48,3,3
80,502000,33.04,14,14
80,509000,64.15,2,2
80,504000,20.62,14,14
80,102000,24.78,25,25
80,604000,56.2,13,13
80,304000,19.18,14,14
81,1411000,214.28,25,25
82,902500,31.62,14,14
82,912000,26.87,14,14
82,913000,26.63,5,5
83,1816000,16.35,21,21
83,1801000,17.64,28,28
83,1811000,15.17,28,28
83,1812000,15.5,25,25
83,1813000,16.66,22,22
83,1814000,26.42,3,3
83,1815000,16.55,29,29
84,1201000,22.93,5,5
85,1503000,13.31,14,14
85,914000,10.75,11,11
85,1015000,7.32,10,10
85,1016000,7.48,14,14
85,1103000,9.89,15,15
85,1104000,10.88,11,11
85,1105000,10.1,11,11
85,1106000,10.75,13,13
85,1107000,10.7,14,14
85,903000,25.42,2,2
86,1509000,81.51,9,9
87,1001000,29.43,16,16
88,106000,52.16,13,13
88,207000,37.65,13,13
89,1302000,7.4,25,25
89,1304000,12.74,13,13
90,1416000,216.2,3,3
90,1402000,233.04,3,3
91,107000,60.73,2,2
92,1206000,32.37,14,14
92,1207000,9.92,11,11
92,1209000,10.18,14,14
92,1205000,33.23,1,1
93,410,400.63,1,1
93,240,231.47,9,9
93,420,567.63,2,2
93,320,292.05,4,4
93,230,191.97,9,9
93,350,313.71,11,11
94,610,363.27,2,2
95,806000,15.42,27,27
95,1709000,111.26,9,9
95,1711000,44.62,26,26
95,606500,43.51,26,26
95,703000,12.48,4,4
95,605000,48.33,17,17
95,706000,12.61,36,36
95,717000,33.13,4,4
95,804000,20.3,20,20
95,804500,19.84,17,17
95,805000,27.59,5,5
95,815000,39.82,4,4
95,1303000,11.28,59,59
95,1504000,81.38,9,9
95,1601000,91.15,4,4
95,1602000,93.39,19,19
95,1603000,60.06,17,17
95,1605400,90.38,9,9
95,1605600,36.59,26,26
95,1701110,110.48,2,2
95,1703000,74.42,16,16
95,611000,167.15,4,4
95,1702000,114.13,19,19
95,103500,15.49,27,27
95,604000,55.66,19,19
95,102000,24.81,35,35
95,104000,31.37,7,7
95,104300,30.9,2,2
95,202000,13.2,19,19
95,203000,11.33,17,17
95,204800,11.64,27,27
95,205800,13.98,5,5
95,208000,29.65,4,4
95,302000,24.13,19,19
95,303000,19.01,17,17
95,502000,31.76,19,19
95,704000,13.44,27,27
95,505000,38.72,1,1
95,509000,58.5,4,4
95,304000,19.32,26,26
95,503000,27.08,17,17
95,406000,115.95,4,4
95,404000,65.84,26,26
95,403000,109.54,12,12
95,402000,144.29,18,18
95,309000,54.98,4,4
95,305000,24.22,4,4
95,504000,20.78,26,26
96,1411000,201.87,34,34
96,1507000,121.07,13,13
97,912000,24.75,19,19
97,913000,26.08,16,16
97,902500,33.95,26,26
98,1801000,16.37,17,17
98,1811000,14.27,52,52
98,1812000,16.14,39,39
98,1813000,16.76,32,32
98,1814000,26.71,14,14
98,1815000,16.26,38,38
98,1816000,16.48,33,33
99,423000,45.73,12,12
99,708000,64.88,8,8
99,807000,41.17,13,13
100,1203000,93.06,5,5
101,1201000,23.49,4,4
102,1104000,10.46,17,17
102,1107000,10.25,27,27
102,1503000,13.12,27,27
102,1106000,10.07,8,8
102,1105000,10.11,17,17
102,1016000,7.11,20,20
102,1015000,7.06,18,18
102,903000,26.5,4,4
102,914000,11.56,17,17
102,1103000,10.03,19,19
103,1509000,84.28,19,19
104,1001000,29.68,30,30
104,1002000,30.45,3,3
104,1013000,34.58,16,16
105,106000,49.23,23,23
105,207000,37.88,23,23
106,1304000,12.9,23,23
106,1302000,7.31,32,32
107,1402000,244.8,25,25
107,1416000,237.17,3,3
108,107000,55.83,4,4
109,1205000,31.11,16,16
109,1206000,32.11,19,19
109,1207000,10.17,17,17
109,1209000,9.58,27,27
110,420,526.69,12,12
110,230,201.38,7,7
110,240,221.23,8,8
110,320,308.83,8,8
110,340,272.49,11,11
110,350,291.49,8,8
110,410,382.57,14,14
111,610,363,5,5
111,540,765.96,4,4
112,815000,40.62,4,4
112,611000,165.34,4,4
112,701000,29.01,5,5
112,703000,13.18,9,9
112,704000,12.71,16,16
112,706000,13.48,29,29
112,1711000,47.02,15,15
112,717000,32.31,3,3
112,404000,64.89,16,16
112,801000,29.26,4,4
112,804000,20.02,16,16
112,804500,20.3,13,13
112,806000,14.67,16,16
112,1303000,11.14,39,39
112,1504000,79.67,13,13
112,1601000,91.24,7,7
112,1602000,93.28,16,16
112,1603000,56.04,13,13
112,1605400,89.63,13,13
112,1605600,37.62,16,16
112,1701110,113.1,7,7
112,1702000,113.87,16,16
112,1703000,71.48,13,13
112,1709000,105.43,13,13
112,606500,45.09,16,16
112,805000,28.16,9,9
112,104300,31.97,9,9
112,605000,49.67,13,13
112,102000,26.14,30,30
112,406000,112.07,4,4
112,104000,28.9,7,7
112,201000,29.43,5,5
112,202000,12.54,17,17
112,203000,11.13,13,13
112,204800,11.7,16,16
112,205800,14.98,8,8
112,208000,30.5,4,4
112,302000,25.21,17,17
112,303000,19.82,13,13
112,503000,26.01,13,13
112,103500,16.65,16,16
112,509000,63.12,4,4
112,505000,37.26,8,8
112,304000,19.48,16,16
112,604000,57.27,16,16
112,502000,34.1,16,16
112,405000,76.77,2,2
112,403000,113.83,13,13
112,402000,138.4,17,17
112,309000,57.62,4,4
112,305000,24.99,9,9
112,504000,21.04,16,16
113,1507000,125.67,13,13
113,1411000,195.13,29,29
113,1412000,211.11,5,5
114,1506000,128.64,8,8
115,902500,33.75,16,16
115,910000,36.45,3,3
115,912000,26.96,17,17
115,913000,25.71,7,7
115,901000,47.53,6,6
116,1811000,15.28,32,32
116,1816000,15.89,26,26
116,1815000,15.97,32,32
116,1814000,25.75,17,17
116,1812000,15.45,13,13
116,1801000,17.43,25,25
116,1813000,16.33,15,15
117,807000,43.47,7,7
117,307000,384.51,1,1
117,708000,61.65,7,7
117,423000,47.61,7,7
117,608000,152.93,6,6
117,506000,165.07,6,6
118,1203000,90.42,12,12
119,1201000,22.76,9,9
120,1103000,10.1,17,17
120,1503000,13.56,16,16
120,1107000,10.24,16,16
120,1106000,10.13,12,12
120,1104000,10.41,6,6
120,1016000,7.44,16,16
120,1015000,7.21,13,13
120,914000,10.66,13,13
120,903000,26.04,4,4
120,1105000,10.37,13,13
121,1509000,82.62,16,16
122,1013000,35.48,7,7
122,1001000,30.31,20,20
122,1002000,30.86,9,9
122,1011000,35.6,2,2
123,1101000,33.3,3,3
123,207000,37.21,15,15
123,106000,49.37,15,15
124,1302000,7.01,25,25
124,1304000,12.42,15,15
125,1402000,244.04,16,16
125,1416000,224.53,4,4
126,107000,56.94,4,4
127,1207000,10.21,13,13
127,1209000,9.61,16,16
127,1206000,33.69,16,16
127,1205000,33.71,7,7
128,240,220.11,8,8
128,320,285.32,6,6
128,340,272.93,6,6
128,350,301.53,14,14
128,410,371.87,12,12
128,420,527.16,8,8
128,230,204.61,6,6
129,610,333.97,6,6
129,540,792.89,8,8
129,530,749.94,5,5
130,815000,38.01,3,3
130,605000,51.53,7,7
130,606500,46.98,19,19
130,607500,107.79,10,10
130,611000,168.52,4,4
130,701000,30.22,10,10
