RETAILSTOREID,STORENAME,PHONE,CONTACTFIRSTNAME,CONTACTLASTNAME,ADDRESS,ZIPCODE,CITYID
410,AURORA CYCLE SHOP,206-783-1000, , ,7401 AURORA AVE N,98103-5160,5664
411,AUSTIN BICYCLE SALVAGE,512-244-7444, , ,1830 N MAYS ST,78664-2126,5281
412,AUSTINTOWN GLENWOOD CYCLE INC,216-793-7343, , ,69 FITCH BLVD,44515-2202,4137
413,AUSTRIA CYCLES,512-280-2052, , ,11318 MENODORA DR,78748-1841,5065
414,AUTHORIZED BICYCLE SHOP,707-648-1413, , ,1220 GEORGIA ST,94590-6335,721
415,AUTHORIZED BICYCLE SHOP,707-425-2453, , ,803 TEXAS,94533,378
416,AVALANCHE CYCLE CO,612-522-9292, , ,3117 PENN AVE N,55411-1123,5860
417,AVENUE CYCLERY,415-387-3155, , ,1269 9TH AVE,94122-2306,639
418,AVERY'S OPEN AIR BICYCLES,805-653-1100, , ,1783 E MAIN ST,93001-3410,6544
419,AVIATION CYCLERY,310-372-1910, , ,1075 N AVIATION BLVD,90266-6215,497
420,AVILLA BICYCLE SERVICE,219-897-2107, , ,125 GRADE ST,46710,5965
421,AVON SPORTS & SKI,970-949-6066, , ,100 W BEAVER CREEK BLVD,81620,5967
422,AVON SPORTS & SKI,970-949-5300, , ,47 E BEAVER CREEK BLVD,81620,5967
423,AWESOME CYCLERY,970-879-8989, , ,GONDOLA SQUARE,80487,823
424,AWESOME CYCLES,352-344-5155, , ,7729 E PINE LAKE LN,34436-3745,6137
425,AXLER'S BICYCLE CORNER,413-786-4994, , ,313 SPRINGFIELD ST,01001-1531,2257
426,AZALEA BICYCLE SHOP,813-345-7584, , ,7100 9TH AVE N,33710-4655,1282
427,AZAREL SPECIALTY & BIKE SHOP,518-725-1270, , ,277 N MAIN ST,12078-2139,3890
428,B & B BIKE,717-287-3696, , ,112 SHOEMAKER ST,18704-3023,4635
429,B & B BIKE SHOP,216-823-9284, , ,2030 CHERRY AVE,44601-4927,4131
430,B & B CAMPUS BIKE & FITNS CTR,317-282-6389, , ,508 N MCKINLEY AVE,47303-3543,1978
431,B & D BICYCLES,713-955-0150, , ,7979 N ELDRIDGE PKY,77041-1209,5907
432,B & D BICYCLES,713-694-0715, , ,5902 AIRLINE DR,77076-4208,5907
433,B & F INC,864-229-5461, , ,519 PHOENIX,29646,4901
434,B & G CYCLERY,708-740-0007, , ,131 E ROLLINS RD,60073-1345,1848
435,B & H BICYCLES SALES,717-532-9624, , ,44 E KING ST,17257-1308,4775
436,B & H CYCLES-AIR DYNE SCHWINN,818-799-6788, , ,1516 MISSION ST,91030-3216,684
437,B & H ENTERPRISES,805-969-0728, , ,1147 COAST VILLAGE RD,93108-2728,6329
438,B & J BICYCLE SHOP,954-946-7937, , ,1620 E SAMPLE RD,33064-6282,1262
439,B & J BICYCLE SHOP,210-826-0177, , ,8800 BROADWAY ST,78217-6346,5286
440,B & K BICYCLE CO,216-382-9966, , ,4298 MAYFIELD RD,44121-3016,4343
441,B & L BIKE & SPORTS,808-329-3309, , ,74-5576 PAWAI PL # B,96740-1615,6237
442,B & L BIKE SHOP,916-444-5404, , ,610 3RD AVE,95818-3328,627
443,B & L BIKE SHOP,916-756-3540, , ,610 3RD ST,95616-4509,336
444,B & M CYCLE,909-279-7372, , ,261 S LINCOLN AVE,91720-7179,321
445,B & P CYCLE,352-597-1587, , ,3209 SHOAL LINE BLVD,34607-3436,1310
446,B & S ENTERPRISES,310-329-8934, , ,506 W 132ND ST,90248-1504,400
447,B A D BONES,415-543-4466, , ,101 TOWNSEND ST,94107-1912,639
448,B C S BICYCLES,409-696-6551, , ,817 TEXAS AVE S,77840-1918,5107
449,B J BAKER BICYCLE SALES & SVC,216-997-3486, , ,996 W PROSPECT RD,44004-6765,4134
450,B J HACKENBUSHES BMX BIKES,206-841-4494, , ,11512 MERIDIAN E,98373-3548,5654
451,B J'S BIKE & SPORT,541-389-1945, , ,63455 N HIGHWAY 97,97701-5722,4469
452,B J'S BIKE SHOP,520-625-0206, , ,271 W CALLE DE LAS TIENDAS,85614-4358,184
453,B JS ATV RENTAL & ACC CTR,805-481-5411, , ,345 BECKETT PL,93433-1551,411
454,B P CYCLES,703-478-0888, , ,13051 WORLDGATE DR,22070-4374,5457
455,B P CYCLES,703-830-0888, , ,13830 -7 LEE HWY,22020,5420
456,B&B CYCLE,704-882-6682, , ,607 INDIAN TRAIL FAIRVIEW RD,28079,6222
457,BACK COUNTRY BICYCLE,707-465-3995, , ,1329 NORTHCREST DR,95531-2322,6073
458,BACKCOUNTRY MOUNTAIN WORKS,307-234-5330, , ,4120 S POPLAR SUNRISE CENTER,82601,5840
459,BACKROAD BICYCLE,608-647-4636, , ,110 RICHLAND SQ,53581-2947,5781
460,BACKWOODS BIKES,304-327-5797, , ,2009 STADIUM DR,24701-3325,5813
461,BACKWOODS MTN SPTS BOATS,208-726-8826, , ,760 WARM SPRINGS RD,83340,6242
462,BACKYARD BIKE SHOP,941-383-5184, , ,5610 GULF OF MEXICO DR,34228-1900,1171
463,BAD DOGGIE CYCLES,415-473-9040, , ,630 CIRCLE DR,94303-2301,354
464,BADEN BIKE CENTER,314-383-3886, , ,8204 N BROADWAY,63147-2324,3127
465,BAER WHEELS,614-267-7178, , ,9 TIBET RD,43202-1433,4178
466,BAKER BICYCLE CO,205-549-1200, , ,2217 W MEIGHAN BLVD,35904-1705,45
1,Direct Sales,,,,,,
2,Walk-In,,,,,,
3,11TH STREET BICYCLES,815-398-8393, , ,2638 11TH ST,61109-1202,1844
4,121 BIKE CENTER,214-436-5590, , ,1440 S HIGHWAY 121,75067-5950,5216
5,202 CYCLE,206-222-6665, , ,32110 SE REDMOND FALL CITY RD,98024-7812,6128
6,4 SEASONS BICYCLES,714-692-2444, , ,22226 LA PALMA AVE,92687-3813,758
7,4 SEASONS RCRTNL OUTFITTERS,541-593-2255, , ,2 COUNTRY MALL SUITE D,97702,4469
8,441 BIKE SHOP,954-753-6551, , ,8015 W SAMPLE RD,33065-4750,1043
9,A & A DISCOUNT BICYCLES,202-337-0254, , ,1034 33RD ST NW,20007-3519,5927
10,A & B BIKE SALES & REPAIR,912-882-6600, , ,KINGS BAY VILLAGE,31558,1456
11,A & B CYCLE CENTER,916-786-5100, , ,3858 WICHITA WAY,95692-9747,6573
12,A & B CYCLE INC,417-866-2453, , ,220 W WALNUT ST,65806-2116,3134
13,A & B HOBBIES & CYCLES,419-625-4242, , ,1202 W WASHINGTON ST,44870-2228,4332
14,A & B OUTDOOR EQUIPMENT,409-722-9321, , ,3527 NEDERLAND AVE,77627-7239,5245
15,A & C VARIETY & BIKE CENTER,706-595-3705, , ,543 E HILL ST,30824-2273,1472
16,A & E BICYCLE PIT,404-752-9097, , ,2380 BENJAMIN E MAYS DR SW,30311-3200,1368
17,A & J'S HILLSIDE CYCLERY,708-544-7200, , ,4049 WASHINGTON BLVD,60162-1124,1740
18,A & M CYCLE,301-262-4343, , ,13002 9TH ST,20720-3645,2529
19,A & M CYCLE & SUPPLY CO,314-776-1144, , ,4282 ARSENAL ST,63116-1902,3127
20,A & M PETS & BIKES,941-746-3323, , ,2203 34TH AVE E,34208-7506,1014
21,A 1 BIKE REPAIR SALES & RENT,407-334-5003, , ,1890 NE JENSEN BEACH BLVD,34957-7278,1133
22,A 1 MANASSAS CYCLING & FITNS,703-631-0264, , ,7841 SUDLEY RD,22110-2805,5475
23,A A A SAN PEDRO BICYCLE REPAIR,310-833-8183, , ,1110 N GAFFEY ST STE I,90731-1357,6452
24,A A ALBERT YIKES OLDE TYME,813-972-0403, , ,1521 E FLETCHER AVE,33612-3721,1322
25,A A JACK'S BIKE SHOP,312-476-7422, , ,3455 W 59TH,60629,5866
26,A B C BICYCLES,813-345-5391, , ,6633 CENTRAL AVE,33710-8307,1282
27,A B C CYCLERY,708-253-7700, , ,45 S DUNTON AVE,60005-1401,1620
28,A B C SCHWINN & SPORTS,906-226-8535, , ,100 N 3RD ST,49855-4304,2839
29,A B PEACHTREE BICYCLE CENTER,404-262-9853, , ,2837 PEACHTREE RD NE,30305-3135,1368
30,A BICYCLE BUYERS SERVICE,410-833-4445, , ,11612 REISTERSTOWN RD,21136-3702,2641
31,A BICYCLE STATION,407-847-7557, , ,403 BROADWAY,34741-5719,1142
32,A BICYCLE STATION,213-256-0703, , ,6433 N FIGUEROA ST,90042-2802,5857
33,A BICYCLERY IN HALF MOON BAY,415-726-6000, , ,432 MAIN ST,94019-1725,414
34,A BICYCLERY INC PACIFICA,415-738-1800, , ,150 EUREKA SQ,94044-2606,562
35,A C'S BIKE REPAIR & SALES,217-328-1080, , ,403 E ELM ST,61801-3340,1875
36,A ISLAND CYCLERY,941-394-8400, , ,845 BALD EAGLE DR,33937-2542,1178
37,A J BARNES BICYCLE EMPORIUM,770-977-7426, , ,1401 JOHNSON FERRY RD,30062-6495,1435
38,A J BARNES BICYCLE EMPORIUM,941-772-2453, , ,15248 S TAMIAMI TRL,33908-4207,1083
39,A J BARNES BICYCLE EMPORIUM,404-977-7426, , ,1401 JOHNSON FERRY RD,30062-6495,1435
40,A J BARNES BICYCLE EMPORIUM,770-516-9632, , ,1025 ROSE CREEK DR,30189-6788,6590
41,A J BARNES BICYCLE EXPRESS,813-669-2453, , ,1530 N MCMULLEN BOOTH RD,34619-2542,1031
42,A J BARNES BICYCLE EXPRESS,954-340-2001, , ,8921 W ATLANTIC BLVD,33071-7051,1043
43,A J BARNES BICYCLES EXPRESS,407-694-6866, , ,10965 N MILITARY TRL,33410-6501,1346
44,A J BARNES BIKE EMPOR BARTLETT,901-384-0889, , ,2840 BARTLETT RD,38134-4519,5018
45,A J BARNES BIKE EMPOR EXPRSS,407-852-1701, , ,21073 POWERLINE RD,33433-2308,1011
46,A J'S BICYCLES,909-674-6161, , ,31861 MISSION TRL,92530-4521,459
47,A NEW DEVELOPMENT INC,503-693-1962, , ,1300 NE 48TH AVE,97124-5009,4492
48,A R SCHWINN ADAMS BICYCLES,814-868-0802, , ,5651 PEACH ST,16509-2605,4626
49,A RACERS EDGE MTN BIKE PRO SHP,970-453-0995, , ,114 N MAIN ST & 655 S PARK ST,80424,6002
50,A ROAD RACER,419-874-7550, , ,120 W SOUTH BOUNDARY ST,43551-1754,4315
51,A SPORT RACK USA,916-487-2222, , ,1631 FULTON AVE,95825-5111,627
52,A SPORTS RACK USA,415-591-9200, , ,1200 EL CAMINO REAL,94002-3906,259
53,A SPORTS RACK USA,408-371-0400, , ,2272 CAMDEN AVE,95008-6706,286
54,A SPORTS RACK USA,415-599-9011, , ,1757 E BAYSHORE RD,94063-4123,605
55,A SPROCKET DOCTOR,352-429-2238, , ,6649 LAKE EMMA RD,34736-9785,6173
56,A TO Z BIKE SHOP,618-259-5722, , ,607 BERKSHIRE BLVD,62024-1324,1691
57,A TWO WHEEL MOTION BICYCLE SHP,503-691-2932, , ,8655 SW TUALATIN RD,97062-9480,4535
58,A UNITED SCHWINN CYCLE & FITNS,206-353-9262, , ,5716 EVERGREEN WAY,98203-3742,5591
59,A-1 BEACH BIKES,804-426-6812, , ,1630 GENERAL BOOTH BLVD,23454-5602,5519
60,A-1 BEACH BIKES,804-497-7971, , ,4702 VIRGINIA BEACH BLVD,23462-6709,5519
61,A-1 BICYCLE SALES,314-821-0216, , ,10211 MANCHESTER RD,63122-1518,3127
62,A-1 BICYCLES,908-295-2299, , ,642 ARNOLD AVE,08742-2531,3640
63,A-1 BICYCLES US,540-992-1649, , ,220 S & RT 779,24083,6082
64,A-1 BIKE CENTER,602-998-2219, , ,9180 E INDIAN BEND RD,85250-8510,201
65,A-1 BIKE CENTER,602-641-0819, , ,SOUTHERN & VAL VISTA,85206,188
66,A-1 BIKE SHOP,612-587-2453, , ,141 MAIN ST S,55350-2506,2967
67,A-1 BIKE SHOP,507-625-2453, , ,526 SOUTH RD FRNT,56001-7012,2977
68,A-1 BIKESMITH,512-467-2453, , ,4023 GUADALUPE ST,78751-4523,5065
69,A-1 CYCLE,206-848-4142, , ,513 E MAIN AVE,98372-3358,5654
70,A-1 CYCLE,714-893-3706, , ,13752 GOLDENWEST ST,92683-3123,745
71,A-1 CYCLERY,317-241-4660, , ,6847 W WASHINGTON ST,46241-2936,1955
72,A-1 SEA ISLAND CYCLE,803-747-2453, , ,,29405,5901
73,A-WHEELS OF NORTHBROOK,708-564-3700, , ,1348 SHERMER RD,60062-4537,1806
74,AA CYCLE WORLD,707-578-8329, , ,4918 LONDONBERRY DR,95403-1313,663
75,AA ROLL IT,310-372-2050, , ,1114 MANHATTAN AVE,90266-5313,497
76,AAA RIDING TIGERS,803-686-5833, , ,21 ARCHER RD,29928-3207,4905
77,AAA TOPPER SALES & SERVICE CTR,303-237-9872, , ,775 SHERIDAN BLVD,80214-2545,784
78,AAAA BIKE SHOP,609-487-0808, , ,5300 VENTNOR AVE,08406-2306,3698
79,AARDVARK BICYCLE COMPANY INC,803-559-4085, , ,3609 MARY ANN POINT RD,29455-7640,6232
80,AARON'S BICYCLE SHOP,908-352-7454, , ,804 1ST AVE,07201-2802,3487
81,AAZ CYCLE CENTER,708-949-8920, , ,666 E HAWLEY ST,60060-1946,1796
82,ABAJAM BIKE & LOCK,512-444-2453, , ,1716-A S CONGRESS AV,78704,5065
83,ABBOTT'S CYCLING CENTER,407-299-0115, , ,6812 SILVER STAR RD,32818-3129,1230
84,ABC BICYCLE SHOP,714-995-6541, , ,9545 VALLEY VIEW ST,90630-3960,332
85,ABC BICYCLES,305-223-5557, , ,12260 SW 8TH ST,33184-1551,1186
86,ABC BIKE,612-522-8911, , ,1314 W BROADWAY AVE,55411-2535,5860
87,ABC CYCLE,615-473-4088, , ,114 W MAIN ST,37110-2516,5017
88,ABINGDON SCHWINN,410-569-3001, , ,2906 EMMORTON RD,21009-1664,5938
89,ABINGTON BIKE SHOP,215-884-6331, , ,1120 OLD YORK RD,19001-3710,5939
90,ABLE BICYCLES SELL & RPR SHP,314-364-8620, , ,109 S HWY 63,65401,3122
91,ABOVE AND BEYOND SPORTS,909-867-5517, , ,32877 HILLTOP BLVD,92382,6442
92,ABOVE AND BEYOND SPORTS,909-425-0877, , ,4110 HIGHLAND AVE,92346-2771,424
93,ABRAMS VELO PRO,805-964-8355, , ,5887 HOLLISTER AVE,93117-3613,6158
94,ABSOLUTE BIKES,520-779-5969, , ,18 N SAN FRANCISCO ST,86001-5230,175
95,ACADEMY SCHWINN,201-943-6505, , ,54 GRAND AVE,07650-1037,3620
96,ACE MOUNTAIN BIKES,505-982-8079, , ,825 EARLY ST # B,87501-4280,3763
97,ACE SCHWINN BICYCLES,815-872-1061, , ,421 S MAIN ST,61356-2004,1830
98,ACKERMAN'S BIKE REPAIR,517-872-4930, , ,6247 PINE ST,48726-1315,6032
99,ACME BICYCLE CO,909-793-9971, , ,419 E STATE ST,92373-5236,603
100,ACTION BEACH,619-722-7101, , ,310 MISSION AVE,92054-2553,546
101,ACTION BICYCLE CENTER,520-474-2982, , ,513 S BEELINE HWY # A,85541-4820,195
102,ACTION BICYCLES,717-292-6460, , ,110 S MAIN ST,17315-1514,6099
103,ACTION BIKE SHOP,610-436-8984, , ,909 PAOLI PIKE,19380-4527,4806
104,ACTION BIKES,210-657-0155, , ,8330 PAT BOOKER RD,78233-2410,5286
105,ACTION CYCLE,616-773-1234, , ,3211 HEIGHTS RAVENNA RD,49444-4107,2850
106,ACTION CYCLE AND FITNESS,719-561-1884, , ,1857 S PUEBLO BLVD,81005-2105,818
107,ACTION CYCLERY,619-566-3341, , ,9910 MIRA MESA BLVD,92131-1066,5858
108,ACTION OUTFITTERS RTES,717-296-6657, , ,6 & 209,18337,6315
109,ACTION SPORTS,203-481-5511, , ,324 W MAIN ST,06405-3414,839
110,ACTION SPORTS,805-833-4000, , ,8200 STOCKDALE HWY,93311-1091,249
111,ACTION SPORTS CENTER,813-372-8032, , ,2549 SEVEN SPRINGS BLVD,34655-3628,1203
112,ACTION SPORTS CENTER,813-848-6470, , ,7013 US HIGHWAY 19,34652-1636,1203
113,ACTION SPORTS CORNER OF,208-383-0073, , ,15 & FRONT,83702,1594
114,ACTION SPORTS LTD,408-978-8383, , ,1777 HILLSDALE AVE,95124-3111,642
115,ACTION SPORTS LTD,415-328-3180, , ,401 HIGH ST,94301-1621,568
116,ACTION SPORTS OF CHESHIRE INC,203-250-8336, , ,949 S MAIN ST,06410-3418,847
117,ACTION SPORTS OF OLD SAYBROOK,860-388-1291, , ,1385 BOSTON POST RD,06475-1700,913
118,ACTION WHEELS,609-468-5115, , ,640 STATE HWY NO 45,8096,6096
119,ACTION WHEELS,610-868-3039, , ,3820 FREEMANSBURG AVE,18017-6561,4561
120,ACTION WHEELS,610-866-1113, , ,530 W BROAD ST,18018-5250,4561
121,ACTIONSPORT CYCLERY,602-921-7990, , ,2126 E APACHE BLVD,85281-4824,212
122,ACTIVITY SPORTS & CYCLES,815-544-6350, , ,1103 ROOSEVELT ST,61008-2553,1630
123,ACTN MOPEDS SCOOTERS,813-526-0800, , ,5330 66TH ST N,33709-3126,1282
124,ADAMS AVENUE BICYCLES,619-281-3103, , ,3393 ADAMS AVE,92116-1823,5858
125,ADAMS BICYCLE SALES & SERVICE,814-432-3940, , ,440 LIBERTY ST,16323-1055,4637
126,ADAMS CNTY SANTA CLAUS BIKE,303-288-5645, , ,8966 WASHINGTON ST,80229-4537,826
127,ADAMS MOPEDS & BICYCLES,213-254-8003, , ,2301 COLORADO BLVD,90041-1144,5857
128,ADDISON CYCLE CNTR LTD,708-543-4680, , ,514 W LAKE ST,60101-2307,1615
129,ADRIAN LOCKSMITH & CYCLERY,517-263-1415, , ,611 N MAIN ST,49221-2149,2739
130,ADVANTAGE CYCLERY,319-266-2453, , ,114 MAIN ST,50613-2622,1533
131,ADVENTRUE SPORTS,907-789-5696, , ,8345 OLD DAIRY RD,99801-8041,6
132,ADVENTURE BICYCLE CO INC,410-666-2453, , ,3427 SWEET AIR RD,21131-1825,6400
133,ADVENTURE BICYCLE COMPANY,602-649-3374, , ,1110 W SOUTHERN AVE,85210-4933,188
134,ADVENTURE BICYCLE COMPANY,602-649-3394, , ,1110 W SOUTHERN AVE,85210-4933,188
135,ADVENTURE BIKE,616-657-1907, , ,210 W MICHIGAN AVE,49079-1013,6394
136,ADVENTURE BIKE & TRAIL,919-243-6730, , ,PARKWOOD PLZ,27893,3317
137,ADVENTURE BOATS & SPOKES,208-756-6477, , ,511 MAIN ST,83467-4220,6450
138,ADVENTURE CYCLE,806-749-2453, , ,2420 BROADWAY ST,79401-2919,5223
139,ADVENTURE CYCLE & FITNESS INC,414-494-8447, , ,728 S MILITARY AVE,54304-2112,5730
140,ADVENTURE CYCLE & SKI,507-452-4228, , ,178 CENTER ST,55987-3423,3030
141,ADVENTURE CYCLES,407-452-3550, , ,625 N COURTENAY PKY,32953-4753,1185
142,ADVENTURE CYCLES,407-799-1222, , ,75 N ORLANDO AVE,32931-2910,1035
143,ADVENTURE CYCLES INC,706-858-9594, , ,759 BATTLEFIELD PKY,30742-3900,1413
144,ADVENTURE CYCLING,303-699-2514, , ,4361 S PARKER RD,80015-1106,768
145,ADVENTURE CYCLING & FITNESS,717-792-4400, , ,4370 W MARKET ST,17404-5938,4826
146,ADVENTURE SPORTS,801-753-4044, , ,51 S MAIN ST,84321-4535,5363
147,ADVENTURE SPORTS,301-689-0345, , ,163 E MAIN ST,21532-1336,2575
148,ADVENTURE SPORTS,616-347-3041, , ,1100 BAY VIEW RD,49770-9008,2861
149,ADVENTURE SPORTS & CLOTHIERS,915-949-9244, , ,1292 SUNSET MALL,76904,5285
150,ADVENTURE'S EDGE,707-822-4673, , ,650 10TH ST,95521-6208,235
151,ADVENTURE'S EDGE,707-445-3035, , ,408 F ST,95501-1008,374
152,ADVENTURES BY THE SEA INC,408-372-1807, , ,299 CANNERY ROW,93940-1435,521
153,ADVNCD UPHLSTRNG STERDIVANT,601-693-1542, , ,1319 26TH AVE,39301-3906,3182
154,AERO SCHWINN,407-451-4448, , ,21643 STATE ROAD 7,33428-1812,1011
155,AEROSUDS ACCESSORIES,303-465-4584, , ,135 ALTER ST,80020-1679,772
156,AFCO CYCLE AND POOL TABLE CO,201-288-8841, , ,193 BOULEVARD,07604-1825,3523
157,AFFORDABLE BICYCLES,512-444-0805, , ,2210 -1ST SOUTH FIRST,78704,5065
158,AGAPE CYCLE & FITNESS,503-245-9744, , ,2314 SE DIVISION ST,97202-1247,4515
159,AGAPE CYCLE & FITNESS,503-230-0317, , ,2314 SE DIVISION ST,97202-1247,4515
160,AGEE'S BICYCLE CO,804-353-4888, , ,7429 W BROAD ST,23294-3636,5499
161,AGEE'S BICYCLE CO,804-794-6754, , ,11020 MIDLOTHIAN TPKE,23235-4710,5499
162,AGEE'S BICYCLE CO,804-741-4607, , ,11210 PATTERSON AVE,23233-5011,5499
163,AGGIE BIKE STATION,913-776-2372, , ,1207 MORO ST,66502-5352,2048
164,AGGIELAND CYCLING & FITNESS,409-696-9490, , ,202 UNIVERSITY DR E,77840-1728,5107
165,AGGRESSIVE BICYCLES,713-446-6840, , ,222 1ST ST W,77338-3615,5185
166,AGOURA CYCLING CENTER,818-363-7426, , ,29041 THOUSAND OAKS BLVD,91301-1604,218
167,AIRPARK BICYCLE CENTER,602-596-6633, , ,15001 N HAYDEN RD,85260-2538,201
168,AJ'S BICYCLE SHOP,515-472-1719, , ,106 N COURT ST,52556-2811,1551
169,AJAX BIKE & SPORTS,970-925-7662, , ,635 E HYMAN AVE,81611-1922,767
170,AJO BIKES,520-294-1434, , ,3816 S 12TH AVE,85714-1332,214
171,AL LA SELLE'S BICYCLES,918-455-1961, , ,721 W WASHINGTON ST,74012-6937,4408
172,AL PETRI & SONS BIKE CTRS INC,313-381-2833, , ,2160 FORT ST,48146-2405,2834
173,AL PETRI & SONS BIKE CTRS INC,313-675-5566, , ,22720 ALLEN RD,48183-2246,2912
174,AL YOUNG BIKE & SKI,206-524-2642, , ,3615 NE 45TH ST,98105-5642,5664
175,AL'S BICYCLE CO,216-371-4438, , ,1789 LEE RD,44118-1705,4176
176,AL'S BICYCLE SHOP,815-478-0012, , ,1418 W JEFFERSON ST,60435-6702,1749
177,AL'S BICYCLE SHOP,815-741-8383, , ,1418 W JEFFERSON ST,60435-6702,1749
178,AL'S BICYCLES,405-341-4331, , ,2624 BROADWAY CT,73013-4003,4418
179,AL'S BICYCLES,405-632-6565, , ,8904 S WALKER AVE,73139-9438,4439
180,AL'S BICYCLES,405-632-0483, , ,8900 S WALKER AVE,73139-9438,4439
181,AL'S BICYCLES,405-364-8787, , ,562 W MAIN ST,73069-7061,4438
182,AL'S BICYCLES,405-737-7593, , ,1700 S DOUGLAS BLVD,73130-6222,4434
183,AL'S BICYCLES,405-728-7100, , ,7930 N MACARTHUR BLVD,73132-4711,4439
184,AL'S BIKE REPAIR,609-767-0751, , ,142 HADDON AVE,08091-1816,6561
185,AL'S CYCLE & FITNESS,541-772-5880, , ,127 N CENTRAL AVE,97501-5925,4501
186,AL'S CYCLE SHOP,708-673-0135, , ,8118 LINCOLN AVE,60077-2403,1858
187,AL'S CYCLERY & FITNESS,801-752-5131, , ,48 N 100 W,84321-4514,5363
188,AL'S REPAIR & CYCLE,970-522-5333, , ,1005 MAIN ST,80701-2033,794
189,ALA CYCLE & EQUIP CO INC,205-833-1122, , ,9107 PARKWAY E,35206-1508,24
190,ALAMEDA BICYCLE,510-522-0070, , ,1522 PARK ST,94501-2949,219
191,ALAMO CITY BICYCLE SHOP,210-674-5046, , ,7118 W MILITARY DR,78227-2943,5286
192,ALAMOSA SCHWINN CYCLE,719-589-6772, , ,512 3RD ST,81101-2641,764
193,ALAN'S BICYCLE CENTER,407-562-2453, , ,1175 COMMERCE AVE,32960-5774,1335
194,ALAN'S BICYCLE SHOP,908-234-2821, , ,US HWY 202,7921,5978
195,ALAN'S BICYCLES,302-478-0990, , ,4723 CONCORD PIKE,19803-1446,986
196,ALAN'S CYCLERY,619-722-3377, , ,1220 HOLLY ST,92054-2206,546
