"MANUFACTURERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
3,01-SEP-94,51512,605.5,"Automatic EOQ Inventory purchase",223
3,10-SEP-95,51512,-17127.67,"Automatic payment of bills",350
3,03-AUG-94,73735,-5182.36,"Automatic payment of bills",81
3,14-DEC-94,88873,-8768.87,"Automatic payment of bills",149
3,02-JUL-94,15293,-5391.79,"Automatic payment of bills",69
3,24-JUN-94,51512,-4886,"Automatic payment of bills",57
3,20-APR-00,51512,1261.68,"Automatic EOQ Inventory purchase",7303
3,20-MAY-94,15293,4886,"Automatic EOQ Inventory purchase",57
3,08-OCT-96,22343,18723.18,"Automatic EOQ Inventory purchase",588
3,11-APR-94,73735,1684.88,"Automatic EOQ Inventory purchase",48
3,02-FEB-94,51512,-105024,"Automatic payment of bills",3
3,01-JAN-94,87295,105024,"Initial Purchase for startup",3
3,09-AUG-94,87295,8397.43,"Automatic EOQ Inventory purchase",96
3,13-MAR-95,22343,-14932.08,"Automatic payment of bills",248
3,09-JUL-95,15293,-15948.17,"Automatic payment of bills",316
3,04-JUL-95,89097,18671.72,"Automatic EOQ Inventory purchase",333
3,12-JUN-95,87295,15948.17,"Automatic EOQ Inventory purchase",316
3,29-MAY-95,29387,-13756.16,"Automatic payment of bills",299
3,13-MAY-95,73735,-16990.87,"Automatic payment of bills",282
3,03-MAY-95,22343,13756.16,"Automatic EOQ Inventory purchase",299
3,16-APR-95,87295,-17401.71,"Automatic payment of bills",265
3,13-APR-95,51512,16990.87,"Automatic EOQ Inventory purchase",282
3,14-NOV-94,29387,8768.87,"Automatic EOQ Inventory purchase",149
3,19-MAR-95,22343,17401.71,"Automatic EOQ Inventory purchase",265
3,06-DEC-94,87295,12405.07,"Automatic EOQ Inventory purchase",167
3,03-MAR-95,88873,-12405.07,"Automatic payment of bills",167
3,19-FEB-95,22343,795.76,"Automatic EOQ Inventory purchase",233
3,10-FEB-95,51512,14932.08,"Automatic EOQ Inventory purchase",248
3,06-FEB-95,88873,12405.07,"Automatic refund for overpayment",167
3,04-FEB-95,51512,-9648.01,"Automatic payment of bills",185
3,09-JAN-95,15293,9648.01,"Automatic EOQ Inventory purchase",185
2,06-AUG-01,88873,76516.84,"Automatic EOQ Inventory purchase",7692
2,28-OCT-01,89097,-82350.26,"Automatic payment of bills",7717
2,12-OCT-01,87295,-69858.88,"Automatic payment of bills",8326
2,11-OCT-01,73735,70544.61,"Automatic EOQ Inventory purchase",7742
2,03-OCT-01,29387,38401.69,"Automatic EOQ Inventory purchase",8346
2,30-SEP-01,51512,82350.26,"Automatic EOQ Inventory purchase",7717
2,11-SEP-01,88873,69858.88,"Automatic EOQ Inventory purchase",8326
2,31-AUG-01,51512,-53812.47,"Automatic payment of bills",8307
2,31-AUG-01,15293,-76516.84,"Automatic payment of bills",7692
2,07-MAY-02,89097,-57001.88,"Automatic payment of bills",8468
2,12-AUG-01,88873,-77439.42,"Automatic payment of bills",8287
2,14-NOV-01,22343,76803.21,"Automatic EOQ Inventory purchase",8365
2,04-AUG-01,88873,53812.47,"Automatic EOQ Inventory purchase",8307
2,02-AUG-01,87295,-77450.04,"Automatic payment of bills",7642
2,22-JUL-01,51512,-70021.87,"Automatic payment of bills",8267
2,21-JUL-01,51512,78384.89,"Automatic EOQ Inventory purchase",7667
2,15-JUL-01,87295,77439.42,"Automatic EOQ Inventory purchase",8287
2,10-JUL-01,88873,77450.04,"Automatic EOQ Inventory purchase",7642
2,19-JUN-01,88873,70021.87,"Automatic EOQ Inventory purchase",8267
2,10-JUN-01,73735,-77038.04,"Automatic payment of bills",8247
2,24-AUG-01,15293,-78384.89,"Automatic payment of bills",7667
2,05-FEB-02,15293,75510.95,"Automatic EOQ Inventory purchase",7817
2,13-FEB-00,73735,-122994.92,"Automatic payment of bills",7238
2,26-APR-02,89097,78392.9,"Automatic EOQ Inventory purchase",7892
2,12-APR-02,29387,-41957.4,"Automatic payment of bills",8446
2,04-APR-02,89097,57001.88,"Automatic EOQ Inventory purchase",8468
2,19-MAR-02,15293,-57700.92,"Automatic payment of bills",8424
2,14-MAR-02,88873,41957.4,"Automatic EOQ Inventory purchase",8446
2,14-MAR-02,51512,-75510.95,"Automatic payment of bills",7817
2,16-FEB-02,29387,57700.92,"Automatic EOQ Inventory purchase",8424
2,03-NOV-01,89097,-38401.69,"Automatic payment of bills",8346
2,10-FEB-02,51512,-102350.78,"Automatic payment of bills",8404
2,04-NOV-01,22343,-70544.61,"Automatic payment of bills",7742
2,29-JAN-02,73735,-77546,"Automatic payment of bills",7792
2,15-JAN-02,89097,-93304.85,"Automatic payment of bills",8384
2,10-JAN-02,88873,102350.78,"Automatic EOQ Inventory purchase",8404
2,30-DEC-01,73735,77546,"Automatic EOQ Inventory purchase",7792
2,21-DEC-01,51512,-78684.62,"Automatic payment of bills",7767
2,20-DEC-01,87295,-76803.21,"Automatic payment of bills",8365
2,17-DEC-01,51512,93304.85,"Automatic EOQ Inventory purchase",8384
2,17-NOV-01,51512,78684.62,"Automatic EOQ Inventory purchase",7767
2,12-MAY-01,88873,-69949.19,"Automatic payment of bills",7592
2,12-FEB-02,87295,80652.8,"Automatic EOQ Inventory purchase",7842
2,29-MAY-00,22343,-5558.33,"Automatic payment of bills",7302
2,31-MAY-01,22343,-77210.16,"Automatic payment of bills",7617
2,21-SEP-00,73735,-71127.74,"Automatic payment of bills",7392
2,04-SEP-00,88873,88603,"Automatic EOQ Inventory purchase",7417
2,18-AUG-00,88873,71127.74,"Automatic EOQ Inventory purchase",7392
2,27-JUL-00,29387,-79855.67,"Automatic payment of bills",7367
2,06-JUL-00,22343,79855.67,"Automatic EOQ Inventory purchase",7367
2,05-JUL-00,51512,-78849.83,"Automatic payment of bills",7342
2,27-JUN-00,89097,-30614.93,"Automatic payment of bills",7317
2,02-NOV-00,87295,85288.54,"Automatic EOQ Inventory purchase",7467
2,01-JUN-00,51512,30614.93,"Automatic EOQ Inventory purchase",7317
2,07-NOV-00,87295,77219.45,"Automatic EOQ Inventory purchase",7442
2,02-MAY-00,29387,5558.33,"Automatic EOQ Inventory purchase",7302
2,12-APR-00,29387,-750.21,"Automatic payment of bills",7300
2,05-APR-00,89097,-119068.41,"Automatic payment of bills",1439
2,21-MAR-00,51512,750.21,"Automatic EOQ Inventory purchase",7300
2,20-MAR-00,73735,-4430.76,"Automatic payment of bills",7264
2,13-MAR-00,51512,119068.41,"Automatic EOQ Inventory purchase",1439
2,05-MAR-00,73735,-150128.61,"Automatic payment of bills",1414
2,27-FEB-00,73735,-15819.43,"Automatic payment of bills",7282
2,20-FEB-00,51512,4430.76,"Automatic EOQ Inventory purchase",7264
2,04-JUN-00,88873,78849.83,"Automatic EOQ Inventory purchase",7342
2,19-MAR-01,22343,108406.14,"Automatic EOQ Inventory purchase",8208
2,09-MAY-02,88873,83381.29,"Automatic EOQ Inventory purchase",7917
2,11-MAY-01,51512,-66961.29,"Automatic payment of bills",7567
2,07-MAY-01,22343,77038.04,"Automatic EOQ Inventory purchase",8247
2,04-MAY-01,51512,77210.16,"Automatic EOQ Inventory purchase",7617
2,20-APR-01,51512,69949.19,"Automatic EOQ Inventory purchase",7592
2,18-APR-01,87295,-108406.14,"Automatic payment of bills",8208
2,17-APR-01,51512,69519.12,"Automatic EOQ Inventory purchase",8228
2,09-APR-01,87295,66961.29,"Automatic EOQ Inventory purchase",7567
2,04-OCT-00,29387,-88603,"Automatic payment of bills",7417
2,20-MAR-01,29387,-11191.87,"Automatic payment of bills",8188
2,13-MAY-01,73735,-69519.12,"Automatic payment of bills",8228
2,01-MAR-01,73735,94085.42,"Automatic EOQ Inventory purchase",7542
2,23-FEB-01,73735,78154.6,"Automatic refund for overpayment",7492
2,20-FEB-01,51512,-84526.53,"Automatic payment of bills",7517
2,19-FEB-01,73735,11191.87,"Automatic EOQ Inventory purchase",8188
2,24-JAN-01,51512,-78154.6,"Automatic payment of bills",7492
2,20-JAN-01,51512,84526.53,"Automatic EOQ Inventory purchase",7517
2,28-DEC-00,51512,78154.6,"Automatic EOQ Inventory purchase",7492
2,26-NOV-00,29387,-77219.45,"Automatic payment of bills",7442
2,24-NOV-00,88873,-85288.54,"Automatic payment of bills",7467
2,05-APR-01,51512,-94085.42,"Automatic payment of bills",7542
2,12-NOV-03,22343,76284.33,"Automatic EOQ Inventory purchase",8920
2,09-APR-04,73735,151506.36,"Automatic EOQ Inventory purchase",9050
2,02-APR-04,15293,-139275.44,"Automatic payment of bills",9024
2,06-MAR-04,29387,-147421.6,"Automatic payment of bills",8998
2,04-MAR-04,22343,139275.44,"Automatic EOQ Inventory purchase",9024
2,10-FEB-04,15293,-167450.09,"Automatic payment of bills",8972
2,04-FEB-04,87295,147421.6,"Automatic EOQ Inventory purchase",8998
2,10-JAN-04,51512,167450.09,"Automatic EOQ Inventory purchase",8972
2,08-JAN-04,88873,-137563.44,"Automatic payment of bills",8946
2,28-APR-02,73735,-69446.18,"Automatic payment of bills",7867
2,11-DEC-03,15293,137563.44,"Automatic EOQ Inventory purchase",8946
2,05-JUN-04,51512,-83867.23,"Automatic payment of bills",9077
2,06-NOV-03,29387,-83742.46,"Automatic payment of bills",8894
2,08-OCT-03,29387,-102962.23,"Automatic payment of bills",8869
2,07-OCT-03,22343,83742.46,"Automatic EOQ Inventory purchase",8894
2,06-SEP-03,29387,102962.23,"Automatic EOQ Inventory purchase",8869
2,02-SEP-03,89097,-104152,"Automatic payment of bills",8844
2,04-AUG-03,73735,-109111.86,"Automatic payment of bills",8819
2,01-AUG-03,51512,104152,"Automatic EOQ Inventory purchase",8844
2,11-JUL-03,51512,109111.86,"Automatic EOQ Inventory purchase",8819
2,18-DEC-03,87295,-76284.33,"Automatic payment of bills",8920
2,17-OCT-04,22343,-106904.77,"Automatic payment of bills",9186
2,01-JAN-94,87295,250902.9,"Initial Purchase for startup",2
2,06-MAR-05,87295,-164524.22,"Automatic payment of bills",9326
2,10-FEB-05,29387,-145703.95,"Automatic payment of bills",9298
2,02-FEB-05,89097,164524.22,"Automatic EOQ Inventory purchase",9326
2,11-JAN-05,29387,145703.95,"Automatic EOQ Inventory purchase",9298
2,07-JAN-05,51512,-141199.62,"Automatic payment of bills",9270
2,08-DEC-04,87295,141199.62,"Automatic EOQ Inventory purchase",9270
2,05-DEC-04,73735,-69422.43,"Automatic payment of bills",9242
2,07-MAY-04,51512,83867.23,"Automatic EOQ Inventory purchase",9077
2,07-NOV-04,29387,69422.43,"Automatic EOQ Inventory purchase",9242
2,12-MAY-04,22343,-151506.36,"Automatic payment of bills",9050
2,13-OCT-04,87295,64993.04,"Automatic EOQ Inventory purchase",9214
2,13-SEP-04,73735,106904.77,"Automatic EOQ Inventory purchase",9186
2,08-SEP-04,22343,-108766.24,"Automatic payment of bills",9158
2,12-AUG-04,88873,108766.24,"Automatic EOQ Inventory purchase",9158
2,01-AUG-04,88873,-88780.56,"Automatic payment of bills",9131
2,19-JUL-04,87295,-90245.81,"Automatic payment of bills",9104
2,02-JUL-04,22343,88780.56,"Automatic EOQ Inventory purchase",9131
2,19-JUN-04,73735,90245.81,"Automatic EOQ Inventory purchase",9104
2,28-MAY-03,88873,-116889.22,"Automatic payment of bills",8769
2,12-NOV-04,88873,-64993.04,"Automatic payment of bills",9214
2,31-JUL-02,88873,84583.07,"Automatic EOQ Inventory purchase",7967
2,08-JUL-03,22343,-126492.56,"Automatic payment of bills",8794
2,02-OCT-02,22343,-101102.38,"Automatic payment of bills",8580
2,26-SEP-02,22343,72317.69,"Automatic EOQ Inventory purchase",8017
2,21-SEP-02,73735,-64407.69,"Automatic payment of bills",7992
2,18-SEP-02,22343,-105302.69,"Automatic payment of bills",8557
2,07-SEP-02,22343,-84583.07,"Automatic payment of bills",7967
2,04-SEP-02,22343,101102.38,"Automatic EOQ Inventory purchase",8580
2,20-AUG-02,51512,64407.69,"Automatic EOQ Inventory purchase",7992
2,06-OCT-02,15293,65456.33,"Automatic EOQ Inventory purchase",8042
2,17-AUG-02,29387,-51428.97,"Automatic payment of bills",8535
2,23-OCT-02,87295,-72317.69,"Automatic payment of bills",8017
2,19-JUL-02,22343,51428.97,"Automatic EOQ Inventory purchase",8535
2,15-JUL-02,29387,-64879.04,"Automatic payment of bills",8512
2,25-JUN-02,29387,-79996.76,"Automatic payment of bills",7942
2,20-JUN-02,87295,-69342.11,"Automatic payment of bills",8490
2,14-JUN-02,29387,64879.04,"Automatic EOQ Inventory purchase",8512
2,07-JUN-02,87295,-83381.29,"Automatic payment of bills",7917
2,01-JUN-02,87295,79996.76,"Automatic EOQ Inventory purchase",7942
2,20-MAY-02,51512,69342.11,"Automatic EOQ Inventory purchase",8490
2,15-MAY-02,22343,-78392.9,"Automatic payment of bills",7892
2,17-AUG-02,88873,105302.69,"Automatic EOQ Inventory purchase",8557
2,04-JAN-03,73735,129167.9,"Automatic EOQ Inventory purchase",8669
2,19-MAR-02,22343,-80652.8,"Automatic payment of bills",7842
2,02-MAY-03,51512,116889.22,"Automatic EOQ Inventory purchase",8769
2,01-MAY-03,87295,-143273.4,"Automatic payment of bills",8743
2,04-APR-03,22343,143273.4,"Automatic EOQ Inventory purchase",8743
2,01-APR-03,51512,-123570.4,"Automatic payment of bills",8718
2,06-MAR-03,51512,123570.4,"Automatic EOQ Inventory purchase",8718
2,05-MAR-03,73735,-131585.45,"Automatic payment of bills",8693
2,03-FEB-03,87295,131585.45,"Automatic EOQ Inventory purchase",8693
2,02-OCT-02,29387,52819.24,"Automatic EOQ Inventory purchase",8603
2,07-JAN-03,15293,-107051.92,"Automatic payment of bills",8647
2,05-JUN-03,29387,126492.56,"Automatic EOQ Inventory purchase",8794
2,30-DEC-02,73735,-68858.31,"Automatic payment of bills",8092
2,17-DEC-02,87295,-67220.58,"Automatic payment of bills",8625
2,11-DEC-02,73735,107051.92,"Automatic EOQ Inventory purchase",8647
2,11-DEC-02,29387,-66544.01,"Automatic payment of bills",8067
2,07-DEC-02,88873,68858.31,"Automatic EOQ Inventory purchase",8092
2,14-NOV-02,51512,67220.58,"Automatic EOQ Inventory purchase",8625
2,12-NOV-02,29387,66544.01,"Automatic EOQ Inventory purchase",8067
2,12-NOV-02,22343,-65456.33,"Automatic payment of bills",8042
2,01-NOV-02,87295,-52819.24,"Automatic payment of bills",8603
2,02-FEB-03,29387,-129167.9,"Automatic payment of bills",8669
2,15-AUG-95,22343,44799.51,"Automatic EOQ Inventory purchase",349
2,18-MAR-95,29387,47565.76,"Automatic EOQ Inventory purchase",264
2,03-JAN-96,73735,-40661.21,"Automatic payment of bills",417
2,07-DEC-95,87295,40661.21,"Automatic EOQ Inventory purchase",417
2,06-DEC-95,51512,-37374.59,"Automatic payment of bills",400
2,11-NOV-95,51512,37374.59,"Automatic EOQ Inventory purchase",400
2,05-NOV-95,73735,-55035.05,"Automatic payment of bills",383
2,07-OCT-95,88873,55035.05,"Automatic EOQ Inventory purchase",383
2,02-OCT-95,15293,-48633.19,"Automatic payment of bills",366
2,03-FEB-96,89097,40661.21,"Automatic refund for overpayment",417
2,04-SEP-95,22343,48633.19,"Automatic EOQ Inventory purchase",366
2,14-FEB-96,73735,-44521.28,"Automatic payment of bills",434
2,07-AUG-95,51512,-46830.59,"Automatic payment of bills",332
2,10-JUL-95,22343,-44228.9,"Automatic payment of bills",315
2,09-JUL-95,87295,46830.59,"Automatic EOQ Inventory purchase",332
2,14-JUN-95,15293,44228.9,"Automatic EOQ Inventory purchase",315
2,14-JUN-95,89097,-41699.59,"Automatic payment of bills",298
2,15-MAY-95,29387,41699.59,"Automatic EOQ Inventory purchase",298
2,05-MAY-95,73735,-49424.02,"Automatic payment of bills",281
2,14-APR-95,89097,-47565.76,"Automatic payment of bills",264
2,07-DEC-96,29387,73883.81,"Automatic EOQ Inventory purchase",621
2,15-SEP-95,73735,-44799.51,"Automatic payment of bills",349
2,16-JUN-96,22343,73669.56,"Automatic EOQ Inventory purchase",519
2,10-NOV-96,15293,60713.41,"Automatic EOQ Inventory purchase",604
2,04-NOV-96,88873,-63347.24,"Automatic payment of bills",587
2,17-OCT-96,51512,-76344.5,"Automatic payment of bills",570
2,06-OCT-96,89097,63347.24,"Automatic EOQ Inventory purchase",587
2,18-SEP-96,51512,76344.5,"Automatic EOQ Inventory purchase",570
2,10-SEP-96,22343,-58574.32,"Automatic payment of bills",553
2,09-AUG-96,88873,58574.32,"Automatic EOQ Inventory purchase",553
2,08-AUG-96,29387,-56178.85,"Automatic payment of bills",536
2,12-JAN-96,22343,44521.28,"Automatic EOQ Inventory purchase",434
2,08-JUL-96,29387,56178.85,"Automatic EOQ Inventory purchase",536
2,16-MAR-95,29387,-3654.71,"Automatic payment of bills",232
2,01-JUN-96,29387,-74566.01,"Automatic payment of bills",502
2,16-MAY-96,87295,-64251.85,"Automatic payment of bills",485
2,03-MAY-96,29387,74566.01,"Automatic EOQ Inventory purchase",502
2,15-APR-96,29387,64251.85,"Automatic EOQ Inventory purchase",485
2,10-APR-96,73735,-63773.79,"Automatic payment of bills",468
2,18-MAR-96,15293,-32210.41,"Automatic payment of bills",451
2,12-MAR-96,29387,63773.79,"Automatic EOQ Inventory purchase",468
2,06-MAR-96,51512,-40661.21,"Automatic payment of bills",417
2,16-FEB-96,87295,32210.41,"Automatic EOQ Inventory purchase",451
2,18-JUL-96,51512,-73669.56,"Automatic payment of bills",519
2,03-MAY-94,88873,60.89,"Automatic EOQ Inventory purchase",206
2,06-APR-95,88873,49424.02,"Automatic EOQ Inventory purchase",281
2,06-JUL-94,22343,-480.28,"Automatic payment of bills",211
2,30-JUN-94,73735,-11577.18,"Automatic payment of bills",68
2,11-JUN-94,22343,-6804.75,"Automatic payment of bills",56
2,09-JUN-94,87295,-60.89,"Automatic payment of bills",206
2,05-JUN-94,51512,480.28,"Automatic EOQ Inventory purchase",211
2,03-JUN-94,88873,11577.18,"Automatic EOQ Inventory purchase",68
2,10-MAY-94,51512,6804.75,"Automatic EOQ Inventory purchase",56
2,10-AUG-94,89097,-15512.2,"Automatic payment of bills",80
2,05-MAY-94,15293,-3097.24,"Automatic payment of bills",47
2,13-AUG-94,29387,235.28,"Automatic EOQ Inventory purchase",219
2,20-APR-94,22343,-1553.86,"Automatic payment of bills",42
2,07-APR-94,29387,264,"Automatic EOQ Inventory purchase",205
2,11-FEB-00,88873,15819.43,"Automatic EOQ Inventory purchase",7282
2,19-MAR-94,22343,1553.86,"Automatic EOQ Inventory purchase",42
2,30-MAR-02,29387,69446.18,"Automatic EOQ Inventory purchase",7867
2,08-MAR-94,73735,-193.58,"Automatic payment of bills",202
2,19-FEB-94,15293,7670.33,"Automatic EOQ Inventory purchase",36
2,03-FEB-94,73735,193.58,"Automatic EOQ Inventory purchase",202
2,31-JAN-94,87295,-250902.9,"Automatic payment of bills",2
2,05-MAY-94,29387,-264,"Automatic payment of bills",205
2,05-NOV-94,73735,28504.21,"Automatic EOQ Inventory purchase",148
2,15-MAR-95,15293,-41532.47,"Automatic payment of bills",166
2,08-MAR-95,51512,-37592.37,"Automatic payment of bills",247
2,19-FEB-95,22343,3654.71,"Automatic EOQ Inventory purchase",232
2,12-FEB-95,88873,41532.47,"Automatic refund for overpayment",166
2,06-FEB-95,73735,37592.37,"Automatic EOQ Inventory purchase",247
2,03-FEB-95,87295,-36333.76,"Automatic payment of bills",184
2,15-JAN-95,15293,-41532.47,"Automatic payment of bills",166
2,09-JAN-95,87295,36333.76,"Automatic EOQ Inventory purchase",184
2,11-JUL-94,15293,15512.2,"Automatic EOQ Inventory purchase",80
2,06-DEC-94,51512,-28504.21,"Automatic payment of bills",148
2,04-APR-94,29387,3097.24,"Automatic EOQ Inventory purchase",47
2,31-OCT-94,89097,-30591.82,"Automatic payment of bills",130
2,20-OCT-94,29387,-514.24,"Automatic payment of bills",222
2,11-OCT-94,87295,-28134.69,"Automatic payment of bills",112
2,03-OCT-94,22343,30591.82,"Automatic EOQ Inventory purchase",130
2,20-SEP-94,88873,514.24,"Automatic EOQ Inventory purchase",222
2,19-SEP-94,22343,-28958.42,"Automatic payment of bills",95
2,14-SEP-94,51512,-235.28,"Automatic payment of bills",219
2,11-SEP-94,51512,28134.69,"Automatic EOQ Inventory purchase",112
2,20-AUG-94,51512,28958.42,"Automatic EOQ Inventory purchase",95
2,14-DEC-94,22343,41532.47,"Automatic EOQ Inventory purchase",166
2,13-JAN-99,73735,-37013.36,"Automatic payment of bills",1096
2,12-AUG-98,15293,-136838.6,"Automatic payment of bills",996
2,03-APR-99,73735,115055.86,"Automatic EOQ Inventory purchase",1164
2,02-APR-99,87295,-87314.78,"Automatic payment of bills",1139
2,16-MAR-99,29387,83.09,"Automatic EOQ Inventory purchase",8179
2,11-MAR-99,88873,-7575.45,"Automatic payment of bills",1114
2,02-MAR-99,73735,87314.78,"Automatic EOQ Inventory purchase",1139
2,14-FEB-99,73735,37013.36,"Automatic refund for overpayment",1096
2,06-FEB-99,88873,7575.45,"Automatic EOQ Inventory purchase",1114
2,08-MAY-99,51512,-115055.86,"Automatic payment of bills",1164
2,20-JAN-99,73735,66909.63,"Automatic EOQ Inventory purchase",8139
2,14-MAY-99,22343,141251.96,"Automatic EOQ Inventory purchase",1189
2,13-DEC-98,88873,28445.7,"Automatic EOQ Inventory purchase",8119
2,12-DEC-98,87295,37013.36,"Automatic EOQ Inventory purchase",1096
2,01-DEC-98,89097,-133872.16,"Automatic payment of bills",1076
2,12-NOV-98,87295,-139877.97,"Automatic payment of bills",1056
2,03-NOV-98,89097,133872.16,"Automatic EOQ Inventory purchase",1076
