"CUSTOMERID","TRANSACTIONDATE","EMPLOYEEID","AMOUNT","DESCRIPTION","REFERENCE"
212,23-JUN-94,34192,-1318.4,"Monthly payment #3",847
212,19-FEB-94,87295,3955.2,"Order was shipped",847
212,24-JUN-94,34192,-234,"Monthly payment #2",79
212,25-JUL-94,51512,-234,"Monthly payment #3",79
212,24-MAY-94,15293,-234,"Monthly payment #1",79
212,21-MAY-94,87295,-1318.4,"Monthly payment #2",847
212,21-APR-94,51512,-1318.4,"Monthly payment #1",847
212,23-MAR-94,87295,1872,"Order was shipped",79
212,23-AUG-94,87295,-234,"Monthly payment #4",79
217,12-OCT-94,51512,-1513.75,"Single/final payment for purchase",337
217,11-SEP-94,15293,1513.75,"Order was shipped",337
218,15-OCT-94,51512,-3657.75,"Single/final payment for purchase",791
218,16-SEP-94,87295,3719,"Order was shipped",791
218,20-APR-94,89097,1907.5,"Order was shipped",225
218,22-MAY-94,51512,-1968.75,"Single/final payment for purchase",225
219,15-JUL-94,51512,2642.5,"Order was shipped",285
219,19-AUG-94,51512,-2642.5,"Single/final payment for purchase",285
220,09-SEP-94,87295,-329,"Monthly payment #5",203
220,04-AUG-97,51512,2881.05,"Order was shipped",4595
220,08-SEP-97,51512,-2881.05,"Single/final payment for purchase",4595
220,11-NOV-94,46583,-340,"Monthly payment #7",203
220,10-OCT-94,98766,-340,"Monthly payment #6",203
220,05-AUG-94,46583,-340,"Monthly payment #4",203
220,08-JUL-94,89097,-340,"Monthly payment #3",203
220,13-JUN-94,34192,-340,"Monthly payment #2",203
220,06-MAR-94,51512,2369,"Order was shipped",203
220,12-MAY-94,15293,-340,"Monthly payment #1",203
221,13-MAR-94,87295,3228.8,"Order was shipped",302
221,14-APR-94,46583,-3228.8,"Single/final payment for purchase",302
223,11-MAR-94,15293,2826,"Order was shipped",67
223,10-APR-94,46583,-2826.01,"Single/final payment for purchase",67
225,14-JAN-94,29387,3383,"Order was shipped",867
225,19-SEP-94,29387,-717.5,"Monthly payment #1",86
225,26-OCT-94,46583,-717.5,"Monthly payment #2",86
225,17-FEB-94,46583,-3383,"Single/final payment for purchase",867
225,20-JUL-94,87295,1435,"Order was shipped",86
226,22-MAR-94,29387,2492.4,"Order was shipped",756
226,25-APR-94,46583,-2492.41,"Single/final payment for purchase",756
226,09-MAY-94,87295,2587.5,"Order was shipped",107
226,13-JUN-94,46583,-2587.5,"Single/final payment for purchase",107
226,29-DEC-03,89097,5052,"Order was shipped",25200
226,30-JAN-04,98766,-5052,"Single/final payment for purchase",25200
227,17-JAN-94,87295,1448,"Order was shipped",309
227,26-AUG-97,51512,-3678.8,"Single/final payment for purchase",4696
227,23-FEB-94,46583,-1448,"Single/final payment for purchase",309
227,25-JUL-97,51512,3678.8,"Order was shipped",4696
228,21-NOV-94,51512,-426.77,"Monthly payment #3",778
228,03-JUL-94,15293,3684.2,"Order was shipped",938
228,20-MAR-95,51512,-426.78,"Monthly payment #7",778
228,18-FEB-95,87295,-426.77,"Monthly payment #6",778
228,21-JAN-95,89097,-426.77,"Monthly payment #5",778
228,18-DEC-94,87295,-426.77,"Monthly payment #4",778
228,19-SEP-94,51512,-426.77,"Monthly payment #2",778
228,04-AUG-94,51512,-3684.2,"Single/final payment for purchase",938
228,17-JUN-94,51512,2987.4,"Order was shipped",778
228,01-MAR-94,46583,-1682.03,"Single/final payment for purchase",103
228,24-JAN-94,87295,1682,"Order was shipped",103
228,18-AUG-94,15293,-426.77,"Monthly payment #1",778
229,04-NOV-94,87295,1368.5,"Order was shipped",231
229,03-DEC-94,51512,-1368.5,"Single/final payment for purchase",231
230,27-NOV-94,15293,-265.3999,"Monthly payment #6",74
230,25-FEB-04,51512,3434.89,"Order was shipped",24950
230,26-AUG-04,34192,-686.96,"Monthly payment #5",24950
230,31-JUL-04,34192,-686.98,"Monthly payment #4",24950
230,29-JUN-04,51512,-686.98,"Monthly payment #3",24950
230,28-APR-04,51512,-686.98,"Monthly payment #1",24950
230,02-JUN-04,34192,-686.98,"Monthly payment #2",24950
230,25-SEP-94,46583,-265.42,"Monthly payment #4",74
230,27-AUG-94,46583,-265.42,"Monthly payment #3",74
230,27-JUL-94,15293,-265.42,"Monthly payment #2",74
230,24-JUN-94,51512,-265.42,"Monthly payment #1",74
230,24-APR-94,51512,1585.25,"Order was shipped",74
230,25-OCT-94,89097,-258.17,"Monthly payment #5",74
232,30-MAR-94,15293,-2832.5,"Single/final payment for purchase",76
232,21-DEC-94,15293,3231.25,"Order was shipped",1020
232,23-FEB-94,89097,2832.5,"Order was shipped",76
232,24-JAN-95,15293,-3231.25,"Single/final payment for purchase",1020
234,22-FEB-94,51512,3115,"Order was shipped",297
234,27-MAR-94,15293,-3115,"Single/final payment for purchase",297
235,06-JUN-02,15293,4360,"Order was shipped",20697
235,08-DEC-02,51512,-726.67,"Monthly payment #5",20697
235,08-NOV-02,34192,-726.67,"Monthly payment #4",20697
235,04-OCT-02,51512,-726.67,"Monthly payment #3",20697
235,04-JAN-03,98766,-726.6501,"Monthly payment #6",20697
235,14-AUG-94,89097,-473.34,"Monthly payment #3",241
235,11-JUL-94,46583,-473.33,"Monthly payment #2",241
235,10-JUN-94,51512,-473.33,"Monthly payment #1",241
235,09-APR-94,15293,1420,"Order was shipped",241
235,10-AUG-02,15293,-726.67,"Monthly payment #1",20697
235,06-SEP-02,87295,-726.67,"Monthly payment #2",20697
237,27-JUL-94,29387,3377.15,"Order was shipped",856
1,22-FEB-94,98766,-1536.67,"Single/final payment for purchase",1
1,20-JAN-94,15293,1536.67,"Order was shipped",1
2,29-MAY-94,98766,-2187.65,"Single/final payment for purchase",2
2,23-APR-94,87295,2187.65,"Order was shipped",2
3,07-FEB-94,87295,3066.51,"Order was shipped",3
3,11-MAR-94,98766,-3066.51,"Single/final payment for purchase",3
4,16-AUG-94,98766,-1770,"Single/final payment for purchase",4
4,15-JUL-94,51512,1770,"Order was shipped",4
5,11-AUG-04,98766,-836.7,"Monthly payment #3",25184
5,10-JUL-04,51512,-836.7,"Monthly payment #2",25184
5,11-MAY-04,15293,-836.7,"Monthly payment #1",25184
5,09-MAR-04,51512,5020.2,"Order was shipped",25184
5,01-AUG-97,98766,-2963.8,"Single/final payment for purchase",4332
5,01-JUL-97,89097,2963.8,"Order was shipped",4332
5,28-MAR-94,15293,1876.23,"Order was shipped",5
5,09-OCT-04,46583,-932.93,"Monthly payment #5",25184
5,09-SEP-04,34192,-836.7,"Monthly payment #4",25184
5,09-NOV-04,87295,-836.6899,"Monthly payment #6",25184
5,01-MAY-94,98766,-1780,"Single/final payment for purchase",5
6,11-AUG-94,34192,-300.1099,"Monthly payment #6",7
6,10-MAY-94,46583,-261.67,"Monthly payment #3",7
6,10-JAN-94,51512,1608.46,"Order was shipped",7
6,11-APR-94,46583,-261.67,"Monthly payment #2",7
6,13-JUN-94,89097,-261.67,"Monthly payment #4",7
6,14-MAR-94,34192,-261.67,"Monthly payment #1",7
6,09-JUL-94,89097,-261.67,"Monthly payment #5",7
7,14-JUN-94,34192,-1769,"Single/final payment for purchase",8
7,12-MAY-94,29387,1769,"Order was shipped",8
8,27-NOV-94,29387,-635,"Monthly payment #2",9
8,31-OCT-94,51512,-635,"Monthly payment #1",9
8,26-AUG-94,15293,1270,"Order was shipped",9
9,25-NOV-03,89097,3790,"Order was shipped",25281
9,26-JAN-04,87295,-1895,"Monthly payment #1",25281
9,27-FEB-04,34192,-1895,"Monthly payment #2",25281
9,11-DEC-94,34192,-1720,"Single/final payment for purchase",10
9,03-NOV-94,87295,1720,"Order was shipped",10
9,18-SEP-94,34192,-1835,"Single/final payment for purchase",953
9,17-AUG-94,51512,1835,"Order was shipped",953
10,03-NOV-94,29387,1320,"Order was shipped",11
10,07-DEC-94,34192,-1320,"Single/final payment for purchase",11
11,26-JUN-94,34192,-1850,"Single/final payment for purchase",12
11,25-MAY-94,29387,1850,"Order was shipped",12
11,24-JAN-94,51512,2488.2,"Order was shipped",993
11,27-FEB-94,29387,-2488.19,"Single/final payment for purchase",993
12,18-JAN-95,34192,-1970,"Single/final payment for purchase",13
12,17-DEC-94,15293,1970,"Order was shipped",13
13,15-DEC-94,51512,2470,"Order was shipped",14
13,19-JAN-95,34192,-2470,"Single/final payment for purchase",14
14,24-APR-95,29387,-301.67,"Monthly payment #3",15
14,26-JUN-95,46583,-301.67,"Monthly payment #5",15
14,01-APR-95,46583,-301.67,"Monthly payment #2",15
14,26-JUL-95,29387,-301.6499,"Monthly payment #6",15
14,04-DEC-94,98766,-1983.42,"Monthly payment #2",927
14,26-FEB-95,87295,-301.67,"Monthly payment #1",15
14,28-AUG-94,87295,3966.85,"Order was shipped",927
14,23-MAY-95,15293,-301.67,"Monthly payment #4",15
14,24-DEC-94,87295,1810,"Order was shipped",15
14,05-NOV-94,15293,-1983.43,"Monthly payment #1",927
15,17-JAN-95,29387,-2621.41,"Single/final payment for purchase",16
15,12-DEC-94,51512,2621.41,"Order was shipped",16
16,06-AUG-94,51512,2428.8,"Order was shipped",775
16,04-APR-97,98766,-4299.39,"Single/final payment for purchase",4524
16,03-MAR-97,87295,4299.39,"Order was shipped",4524
16,26-JAN-95,29387,-1865.69,"Single/final payment for purchase",17
16,26-DEC-94,51512,1865.69,"Order was shipped",17
16,07-SEP-94,29387,-2428.86,"Single/final payment for purchase",775
16,01-OCT-94,29387,-3022.4,"Single/final payment for purchase",752
16,29-AUG-94,87295,3022.4,"Order was shipped",752
17,18-DEC-94,87295,1070,"Order was shipped",18
17,22-JAN-95,29387,-1070,"Single/final payment for purchase",18
18,29-DEC-94,29387,-1620,"Single/final payment for purchase",19
18,29-NOV-94,51512,1620,"Order was shipped",19
19,03-JAN-95,87295,4516.88,"Order was shipped",858
19,06-MAY-95,87295,-1505.62,"Monthly payment #3",858
19,05-APR-95,98766,-1505.63,"Monthly payment #2",858
19,10-MAR-95,15293,-1505.63,"Monthly payment #1",858
19,30-DEC-94,87295,-1140.19,"Monthly payment #3",20
19,29-NOV-94,34192,-1140.2,"Monthly payment #2",20
19,28-AUG-94,51512,3420.59,"Order was shipped",20
19,03-NOV-94,34192,-1140.2,"Monthly payment #1",20
28,22-SEP-94,51512,1321.78,"Order was shipped",192
28,26-OCT-94,87295,-1321.78,"Single/final payment for purchase",192
28,29-DEC-97,51512,3682,"Order was shipped",4477
28,02-FEB-98,98766,-3682,"Single/final payment for purchase",4477
31,25-JUL-94,15293,1766,"Order was shipped",189
31,06-JUN-94,15293,3997.6,"Order was shipped",917
31,29-AUG-94,87295,-1766,"Single/final payment for purchase",189
31,10-JUL-94,87295,-3997.63,"Single/final payment for purchase",917
32,05-MAR-94,89097,1303.75,"Order was shipped",117
32,08-APR-94,87295,-1303.75,"Single/final payment for purchase",117
32,22-JUN-94,89097,3267.5,"Order was shipped",814
32,23-JUL-94,87295,-3267.5,"Single/final payment for purchase",814
35,16-AUG-94,87295,-1470,"Single/final payment for purchase",213
35,18-AUG-94,87295,-4205,"Single/final payment for purchase",925
35,15-JUL-94,89097,4205,"Order was shipped",925
35,14-JUL-94,51512,1470,"Order was shipped",213
37,15-JAN-95,34192,-638.75,"Monthly payment #1",52
37,19-FEB-95,51512,-638.75,"Monthly payment #2",52
37,16-NOV-94,51512,1277.5,"Order was shipped",52
39,04-APR-94,15293,-494.57,"Monthly payment #2",62
39,09-SEP-94,87295,-494.5798,"Monthly payment #7",62
39,08-AUG-94,87295,-494.57,"Monthly payment #6",62
39,07-JUL-94,51512,-494.57,"Monthly payment #5",62
39,06-MAY-94,15293,-494.57,"Monthly payment #3",62
39,04-MAR-94,29387,-494.57,"Monthly payment #1",62
39,05-JAN-94,87295,3462,"Order was shipped",62
39,10-JUN-94,89097,-494.57,"Monthly payment #4",62
40,22-JUL-94,87295,2965.75,"Order was shipped",255
40,27-SEP-94,46583,-423.68,"Monthly payment #1",255
40,24-NOV-94,87295,-423.68,"Monthly payment #2",255
40,27-DEC-94,98766,-423.68,"Monthly payment #3",255
40,22-JAN-95,29387,-423.68,"Monthly payment #4",255
40,21-FEB-95,87295,-423.68,"Monthly payment #5",255
40,23-MAR-95,46583,-423.68,"Monthly payment #6",255
40,18-APR-95,87295,-423.6702,"Monthly payment #7",255
42,12-APR-94,87295,-1554,"Single/final payment for purchase",220
42,09-MAR-94,51512,1554,"Order was shipped",220
48,21-JUL-95,46583,-229.57,"Monthly payment #6",151
48,22-JUN-95,15293,-229.57,"Monthly payment #5",151
48,24-MAY-95,15293,-229.57,"Monthly payment #4",151
48,21-APR-95,51512,-236.82,"Monthly payment #3",151
48,24-MAR-95,89097,-229.57,"Monthly payment #2",151
48,27-FEB-95,29387,-229.57,"Monthly payment #1",151
48,19-DEC-94,15293,1614.25,"Order was shipped",151
48,21-AUG-95,89097,-229.5798,"Monthly payment #7",151
49,24-JAN-94,51512,3138,"Order was shipped",133
49,24-FEB-94,89097,-3138,"Single/final payment for purchase",133
50,25-OCT-94,89097,-300.2,"Monthly payment #1",313
50,24-FEB-95,46583,-300.2,"Monthly payment #5",313
50,28-JAN-95,51512,-300.2,"Monthly payment #4",313
50,21-NOV-94,46583,-300.2,"Monthly payment #2",313
50,23-AUG-94,51512,1501,"Order was shipped",313
50,21-DEC-94,98766,-300.2,"Monthly payment #3",313
51,07-JAN-94,87295,1845.5,"Order was shipped",164
51,03-JUN-95,89097,-278.8202,"Monthly payment #7",872
51,05-MAY-95,15293,-278.83,"Monthly payment #6",872
51,03-APR-95,51512,-278.83,"Monthly payment #5",872
51,05-FEB-95,15293,-278.83,"Monthly payment #4",872
51,03-JAN-95,89097,-278.83,"Monthly payment #3",872
51,05-DEC-94,15293,-278.83,"Monthly payment #2",872
51,05-NOV-94,15293,-278.83,"Monthly payment #1",872
51,10-FEB-94,46583,-1845.5298,"Single/final payment for purchase",164
51,03-SEP-94,51512,1951.8,"Order was shipped",872
53,07-APR-02,51512,4616.5,"Order was shipped",20803
53,11-AUG-94,15293,2905,"Order was shipped",87
53,09-SEP-94,89097,-2905,"Single/final payment for purchase",87
53,08-MAY-02,34192,-4616.5,"Single/final payment for purchase",20803
55,23-NOV-94,89097,-1395,"Single/final payment for purchase",58
55,18-OCT-94,87295,1395,"Order was shipped",58
57,12-JUL-94,15293,3070,"Order was shipped",69
57,13-AUG-94,89097,-3070,"Single/final payment for purchase",69
60,19-FEB-94,29387,1519,"Order was shipped",242
60,23-MAR-94,89097,-1519.01,"Single/final payment for purchase",242
64,01-FEB-95,89097,-1398.13,"Single/final payment for purchase",145
64,28-DEC-94,15293,1398.13,"Order was shipped",145
66,02-DEC-94,89097,-351.08,"Monthly payment #1",135
66,05-JAN-95,87295,-351.05,"Monthly payment #2",135
66,05-FEB-95,34192,-351.05,"Monthly payment #3",135
66,05-MAR-95,46583,-351.05,"Monthly payment #4",135
66,05-APR-95,46583,-351.05,"Monthly payment #5",135
66,12-MAR-97,51512,3621,"Order was shipped",4342
66,12-APR-97,98766,-3605.25,"Single/final payment for purchase",4342
66,28-NOV-97,87295,2232.39,"Order was shipped",4320
66,31-DEC-97,98766,-2232.38,"Single/final payment for purchase",4320
66,30-SEP-94,51512,1739.5,"Order was shipped",135
67,18-JAN-95,46583,-660.69,"Monthly payment #2",336
67,15-OCT-94,15293,1321.38,"Order was shipped",336
67,16-DEC-94,15293,-660.69,"Monthly payment #1",336
68,11-NOV-94,89097,-777.57,"Monthly payment #4",1039
68,25-MAY-02,34192,-4405.39,"Single/final payment for purchase",20745
68,05-MAY-94,87295,4665.4,"Order was shipped",1039
68,07-AUG-94,98766,-777.57,"Monthly payment #1",1039
68,18-AUG-94,51512,1808.4,"Order was shipped",59
68,07-SEP-94,89097,-777.57,"Monthly payment #2",1039
68,20-SEP-94,89097,-1808.4,"Single/final payment for purchase",59
68,07-OCT-94,34192,-777.57,"Monthly payment #3",1039
68,06-DEC-94,34192,-777.57,"Monthly payment #5",1039
68,26-APR-02,51512,4405.39,"Order was shipped",20745
68,07-JAN-95,89097,-777.5498,"Monthly payment #6",1039
69,19-NOV-03,51512,2821,"Order was shipped",25568
69,13-JUN-94,51512,1802.5,"Order was shipped",152
69,21-DEC-03,34192,-2821,"Single/final payment for purchase",25568
69,14-JUL-94,89097,-1802.5,"Single/final payment for purchase",152
72,18-NOV-94,51512,-220.67,"Monthly payment #1",122
72,12-APR-95,51512,-220.67,"Monthly payment #6",122
72,26-MAR-95,46583,-220.67,"Monthly payment #5",122
72,21-FEB-95,29387,-220.67,"Monthly payment #4",122
72,20-JAN-95,87295,-220.67,"Monthly payment #3",122
72,18-DEC-94,34192,-220.67,"Monthly payment #2",122
72,16-AUG-94,15293,1527.5,"Order was shipped",122
72,03-AUG-94,87295,-644.3,"Monthly payment #4",985
72,09-JUL-94,87295,-644.3,"Monthly payment #3",985
72,07-JUN-94,29387,-627.11,"Monthly payment #2",985
72,05-MAR-94,15293,2577.2,"Order was shipped",985
72,19-MAY-95,34192,-220.6699,"Monthly payment #7",122
72,09-MAY-94,51512,-644.3,"Monthly payment #1",985
75,02-APR-94,15293,-1373.25,"Monthly payment #1",143
75,30-APR-94,34192,-1373.25,"Monthly payment #2",143
75,28-JAN-94,15293,2746.5,"Order was shipped",143
76,11-MAY-94,29387,1245,"Order was shipped",215
76,13-JUL-94,89097,-646,"Monthly payment #1",215
76,12-AUG-94,46583,-646,"Monthly payment #2",215
76,11-APR-97,87295,2410,"Order was shipped",4415
76,11-MAY-97,98766,-2363,"Single/final payment for purchase",4415
77,06-FEB-94,87295,1342,"Order was shipped",77
77,09-APR-94,46583,-681.65,"Monthly payment #1",77
77,08-MAY-94,87295,-660.35,"Monthly payment #2",77
78,19-MAY-94,29387,1860.25,"Order was shipped",343
78,21-JUN-94,87295,-1860.25,"Single/final payment for purchase",343
79,24-OCT-94,87295,1554,"Order was shipped",95
79,26-NOV-94,87295,-1557.5,"Single/final payment for purchase",95
79,18-JUN-94,87295,-3082.5,"Single/final payment for purchase",832
79,16-MAY-94,51512,3086,"Order was shipped",832
80,25-NOV-94,87295,-1294.64,"Single/final payment for purchase",347
80,14-DEC-94,29387,1920.21,"Order was shipped",919
80,14-JAN-95,87295,-1920.21,"Single/final payment for purchase",919
80,22-OCT-94,89097,1294.64,"Order was shipped",347
81,20-JUL-94,51512,2774,"Order was shipped",266
81,13-OCT-94,51512,-1842.1,"Monthly payment #2",884
81,12-SEP-94,89097,-1868.1,"Monthly payment #1",884
81,21-AUG-94,51512,-2800.03,"Single/final payment for purchase",266
81,10-JUL-94,15293,3736.2,"Order was shipped",884
83,16-MAR-03,34192,-3112.19,"Single/final payment for purchase",22024
83,01-APR-94,15293,1395,"Order was shipped",316
83,03-MAY-94,51512,-1395,"Single/final payment for purchase",316
83,09-FEB-03,87295,3112.19,"Order was shipped",22024
84,14-JUN-94,87295,-1051.2,"Monthly payment #2",98
84,15-MAR-94,15293,2137,"Order was shipped",98
84,18-MAY-94,46583,-1085.8,"Monthly payment #1",98
84,25-FEB-03,15293,3811.8,"Order was shipped",22892
84,25-MAY-03,51512,-1905.9,"Monthly payment #2",22892
84,24-APR-03,29387,-1905.9,"Monthly payment #1",22892
87,23-OCT-94,87295,3470,"Order was shipped",115
87,22-DEC-94,89097,-1755,"Monthly payment #1",115
87,24-JAN-95,29387,-1715,"Monthly payment #2",115
89,07-DEC-94,15293,2879,"Order was shipped",149
89,13-JAN-95,29387,-2879,"Single/final payment for purchase",149
91,13-MAY-94,15293,1968.75,"Order was shipped",140
91,13-JUN-94,29387,-1968.75,"Single/final payment for purchase",140
92,17-OCT-94,15293,1554,"Order was shipped",346
92,21-JAN-05,51512,-3440,"Single/final payment for purchase",28085
92,16-DEC-04,15293,3356,"Order was shipped",28085
92,04-FEB-02,51512,-4129.78,"Single/final payment for purchase",19834
92,21-NOV-94,29387,-1470,"Single/final payment for purchase",346
92,04-JAN-02,29387,4129.79,"Order was shipped",19834
93,11-FEB-94,87295,1554,"Order was shipped",293
93,14-APR-94,34192,-770,"Monthly payment #1",293
93,17-MAY-94,46583,-784,"Monthly payment #2",293
93,08-DEC-94,87295,2821,"Order was shipped",1036
93,12-FEB-95,87295,-1410.5,"Monthly payment #1",1036
93,15-MAR-95,98766,-1410.5,"Monthly payment #2",1036
95,18-DEC-94,98766,-1592.5,"Single/final payment for purchase",94
95,15-NOV-94,51512,1592.5,"Order was shipped",94
96,06-APR-94,87295,2642.5,"Order was shipped",160
96,06-MAY-94,98766,-2642.5,"Single/final payment for purchase",160
97,11-SEP-94,51512,2720,"Order was shipped",224
97,14-OCT-94,98766,-2720,"Single/final payment for purchase",224
101,07-JUN-94,89097,1742,"Order was shipped",167
101,12-JUL-94,98766,-1766.03,"Single/final payment for purchase",167
101,26-JUL-94,87295,4140.5,"Order was shipped",754
101,30-AUG-94,98766,-4140.5,"Single/final payment for purchase",754
101,10-SEP-94,15293,3273.15,"Order was shipped",904
101,16-OCT-94,98766,-3249.15,"Single/final payment for purchase",904
103,14-MAY-94,98766,-725.32,"Monthly payment #2",843
103,30-JAN-95,15293,-2614,"Single/final payment for purchase",147
103,28-DEC-94,29387,2614,"Order was shipped",147
103,11-AUG-94,15293,-725.3201,"Monthly payment #5",843
103,14-JUN-94,98766,-725.32,"Monthly payment #3",843
103,12-APR-94,89097,-725.3499,"Monthly payment #1",843
103,11-FEB-94,87295,3626.6,"Order was shipped",843
103,13-JUL-94,51512,-725.32,"Monthly payment #4",843
104,13-JUN-94,15293,1277.5,"Order was shipped",161
104,19-JUL-94,15293,-1277.5,"Single/final payment for purchase",161
104,03-JAN-95,87295,3194,"Order was shipped",787
104,03-FEB-95,15293,-3194,"Single/final payment for purchase",787
105,22-JAN-94,15293,1828.75,"Order was shipped",284
105,22-FEB-94,15293,-1828.75,"Single/final payment for purchase",284
105,31-AUG-94,15293,2427.5,"Order was shipped",920
105,04-OCT-94,15293,-2427.5,"Single/final payment for purchase",920
106,14-FEB-94,15293,-3486.25,"Single/final payment for purchase",817
106,19-JUN-94,51512,2583.13,"Order was shipped",903
106,17-JUL-94,51512,1530.94,"Order was shipped",105
106,21-JUL-94,15293,-2583.13,"Single/final payment for purchase",903
106,19-SEP-94,89097,-756.88,"Monthly payment #1",105
106,18-OCT-94,89097,-756.87,"Monthly payment #2",105
106,14-FEB-03,89097,2195,"Order was shipped",21830
106,20-MAR-03,51512,-2212.19,"Single/final payment for purchase",21830
106,12-JAN-94,15293,3486.25,"Order was shipped",817
107,22-NOV-94,51512,-723.92,"Monthly payment #4",862
107,10-MAY-94,89097,-3808.25,"Single/final payment for purchase",962
107,21-DEC-94,15293,-666.1702,"Monthly payment #5",862
107,28-OCT-94,15293,-1802.5,"Single/final payment for purchase",127
107,21-OCT-94,89097,-666.17,"Monthly payment #3",862
107,23-SEP-94,89097,-666.17,"Monthly payment #2",862
107,05-APR-94,87295,3808.25,"Order was shipped",962
107,22-AUG-94,98766,-666.17,"Monthly payment #1",862
107,20-JUN-94,89097,3330.85,"Order was shipped",862
107,26-SEP-94,87295,1860.25,"Order was shipped",127
108,24-OCT-94,46583,-473.83,"Monthly payment #1",111
108,25-NOV-94,29387,-473.83,"Monthly payment #2",111
108,24-DEC-94,87295,-473.84,"Monthly payment #3",111
108,23-AUG-94,87295,1421.5,"Order was shipped",111
109,14-JUL-94,51512,2630.2,"Order was shipped",782
109,08-JAN-95,87295,-4146,"Single/final payment for purchase",944
109,04-DEC-94,87295,4146,"Order was shipped",944
109,06-AUG-94,87295,-1872.03,"Single/final payment for purchase",240
109,06-JUL-94,87295,1872,"Order was shipped",240
109,14-AUG-94,87295,-2630.2,"Single/final payment for purchase",782
111,05-DEC-94,51512,1697.5,"Order was shipped",271
111,09-JAN-95,87295,-1697.51,"Single/final payment for purchase",271
112,05-MAR-94,51512,2805.94,"Order was shipped",331
112,06-APR-94,87295,-2805.94,"Single/final payment for purchase",331
113,14-MAY-97,89097,-1400,"Monthly payment #2",4705
113,05-DEC-94,87295,-1345.7,"Single/final payment for purchase",47
113,14-APR-97,87295,-1400,"Monthly payment #1",4705
113,12-FEB-97,51512,2800,"Order was shipped",4705
113,02-NOV-94,15293,1345.7,"Order was shipped",47
115,06-OCT-97,89097,-3716.38,"Single/final payment for purchase",4652
115,05-NOV-97,89097,-2953.19,"Single/final payment for purchase",4301
115,03-OCT-97,51512,2953.19,"Order was shipped",4301
115,03-SEP-97,51512,3716.39,"Order was shipped",4652
115,20-JUL-94,51512,-310.61,"Monthly payment #4",199
115,17-JUN-94,87295,-310.63,"Monthly payment #3",199
115,20-MAY-94,89097,-310.63,"Monthly payment #2",199
115,16-APR-94,89097,-310.65,"Monthly payment #1",199
115,18-FEB-94,29387,1242.5,"Order was shipped",199
117,21-APR-94,51512,-2747.5,"Single/final payment for purchase",205
117,20-MAR-94,87295,2747.5,"Order was shipped",205
119,31-DEC-94,15293,2407.5,"Order was shipped",312
119,29-JAN-95,29387,-2402,"Single/final payment for purchase",312
119,19-APR-02,51512,3076.87,"Order was shipped",20842
119,23-MAY-02,51512,-3082.36,"Single/final payment for purchase",20842
120,20-NOV-94,89097,1660,"Order was shipped",96
120,22-DEC-94,51512,-1660,"Single/final payment for purchase",96
