PURCHASEORDERID,EMPLOYEEID,MANUFACTURERID,TOTALLIST,SHIPPINGCOST,DISCOUNT,ORDERDATE,RECEIVEDATE,AMOUNTDUE
676,29387,2,70731.81,20,330.35,1-Mar-97,4-Mar-97,70421.46
677,87295,3,12177.42,20,479.39,1-Mar-97,8-Mar-97,11718.03
678,87295,4,4457.88,20,182.91,1-Mar-97,11-Mar-97,4294.97
679,51512,5,4183.75,20,96.04,1-Mar-97,15-Mar-97,4107.71
680,22343,6,2371.52,20,34.23,1-Mar-97,6-Mar-97,2357.29
681,22343,9,7603.9,20,321.61,1-Mar-97,20-Mar-97,7302.29
682,87295,10,469.14,20,1.66,1-Mar-97,16-Mar-97,487.48
683,51512,11,2733.26,20,1.75,1-Mar-97,15-Mar-97,2751.51
684,87295,14,1276.02,20,54.63,1-Mar-97,17-Mar-97,1241.39
685,51512,15,4196.43,20,66.37,1-Mar-97,19-Mar-97,4150.06
686,15293,16,41396.31,20,1345.97,1-Mar-97,11-Mar-97,40070.34
687,88873,17,423.56,20,11.41,1-Mar-97,8-Mar-97,432.15
688,51512,18,22249.43,20,720.23,1-Mar-97,8-Mar-97,21549.2
689,73735,19,4860.66,20,188.86,1-Mar-97,16-Mar-97,4691.8
690,29387,22,874.14,20,32.83,1-Mar-97,8-Mar-97,861.31
691,73735,27,945.03,20,43.81,1-Mar-97,6-Mar-97,921.22
692,87295,29,617.88,20,29.53,1-Mar-97,6-Mar-97,608.35
693,51512,30,2849.98,20,122.91,1-Mar-97,1-Mar-97,2747.07
694,22343,33,22574.13,20,69.64,1-Mar-97,8-Mar-97,22524.49
695,51512,34,14655.16,20,473.45,1-Mar-97,11-Mar-97,14201.71
696,88873,2,95294.35,20,2714.73,1-Apr-97,19-Apr-97,92599.62
697,73735,3,16817.24,20,311.59,1-Apr-97,17-Apr-97,16525.65
698,51512,4,4457.31,20,112.72,1-Apr-97,18-Apr-97,4364.59
699,29387,5,4332,20,103.52,1-Apr-97,14-Apr-97,4248.48
700,51512,6,3400.1,20,122.64,1-Apr-97,10-Apr-97,3297.46
701,29387,9,10343.97,20,222.72,1-Apr-97,4-Apr-97,10141.25
702,73735,10,447.4,20,10.91,1-Apr-97,2-Apr-97,456.49
703,29387,11,3534,20,72.86,1-Apr-97,18-Apr-97,3481.14
704,87295,14,209.7,20,1.4,1-Apr-97,7-Apr-97,228.3
705,89097,15,5279.79,20,194.54,1-Apr-97,11-Apr-97,5105.25
706,87295,16,36470.39,20,1661.76,1-Apr-97,6-Apr-97,34828.63
707,88873,17,407.52,20,0.01,1-Apr-97,13-Apr-97,427.51
708,51512,18,22138.27,20,435.5,1-Apr-97,11-Apr-97,21722.77
709,73735,19,5502.7,20,215.51,1-Apr-97,9-Apr-97,5307.19
710,15293,22,737.63,20,0.19,1-Apr-97,15-Apr-97,757.44
711,87295,27,722.28,20,31.53,1-Apr-97,6-Apr-97,710.75
712,88873,29,398.88,20,10.45,1-Apr-97,12-Apr-97,408.43
713,89097,30,2723.51,20,30.6,1-Apr-97,11-Apr-97,2712.91
714,22343,33,23243.15,20,753.07,1-Apr-97,6-Apr-97,22510.08
715,87295,34,16408.56,20,104.61,1-Apr-97,4-Apr-97,16323.95
716,89097,2,84261.54,20,2660.29,1-May-97,14-May-97,81621.25
717,51512,3,13708.25,20,19.56,1-May-97,19-May-97,13708.69
718,51512,4,4579.12,20,160.03,1-May-97,9-May-97,4439.09
719,87295,5,3671.05,20,151.53,1-May-97,13-May-97,3539.52
720,22343,6,3253.42,20,52.24,1-May-97,4-May-97,3221.18
721,51512,9,9061.5,20,260.33,1-May-97,9-May-97,8821.17
722,22343,10,439.85,20,3.6,1-May-97,2-May-97,456.25
723,73735,11,3489.89,20,70.94,1-May-97,16-May-97,3438.95
2,87295,2,286614.9,90,35802,1-Jan-94,1-Jan-94,250902.9
3,87295,3,109356,75,4407,1-Jan-94,1-Jan-94,105024
4,87295,4,13000,55,390,1-Jan-94,1-Jan-94,12665
5,87295,5,20553,30,2347.8,1-Jan-94,1-Jan-94,18235.2
6,87295,6,26533,35,1001,1-Jan-94,28-Mar-97,28008.5
8,87295,8,129158.9,45,15282.8,1-Jan-94,1-Jan-94,113921.1
9,87295,9,15015,55,1351.35,1-Jan-94,1-Jan-94,13718.65
10,87295,10,2502.5,25,182,1-Jan-94,1-Jan-94,2345.5
11,87295,11,10055.5,35,203.45,1-Jan-94,1-Jan-94,9887.05
12,87295,12,14186.25,40,4262.7,1-Jan-94,1-Jan-94,9963.55
15,87295,15,18010.85,65,1648.4,1-Jan-94,1-Jan-94,16427.45
16,87295,16,121680,80,11863.8,1-Jan-94,1-Jan-94,109896.2
17,87295,17,2060.5,15,172.9,1-Jan-94,1-Jan-94,1902.6
18,87295,18,64083.5,75,4303,1-Jan-94,1-Jan-94,59855.5
19,87295,19,2340,45,789.75,1-Jan-94,1-Jan-94,1595.25
20,87295,20,291.2,25,93.6,1-Jan-94,1-Jan-94,222.6
21,87295,21,104,30,52,1-Jan-94,1-Jan-94,82
22,87295,22,325,55,162.5,1-Jan-94,1-Jan-94,217.5
26,87295,26,279.5,30,111.8,1-Jan-94,1-Jan-94,197.7
27,87295,27,1004.9,35,319.8,1-Jan-94,1-Jan-94,720.1
28,87295,28,669.5,45,149.5,1-Jan-94,1-Jan-94,565
29,87295,29,8157.5,55,188.5,1-Jan-94,1-Jan-94,8024
30,87295,30,1053,75,854,1-Jan-94,1-Jan-94,274
31,87295,31,1982.5,65,1387.75,1-Jan-94,1-Jan-94,659.75
32,87295,32,2242.5,70,1121.25,1-Jan-94,1-Jan-94,1191.25
33,87295,33,123900,80,1500,1-Jan-94,1-Jan-94,122480
34,87295,34,112750,100,0,1-Jan-94,1-Jan-94,112850
35,87295,35,390,50,100,1-Jan-94,1-Jan-94,340
36,15293,2,7996.14,20,345.81,1-Feb-94,19-Feb-94,7670.33
37,51512,6,29.4,20,0.84,1-Feb-94,17-Feb-94,48.56
38,22343,11,675.25,20,12.06,1-Feb-94,9-Feb-94,683.19
39,22343,17,56.88,20,1.76,1-Feb-94,8-Feb-94,75.12
40,73735,18,1564.5,20,21.01,1-Feb-94,6-Feb-94,1563.49
41,87295,19,948.16,20,41.89,1-Feb-94,16-Feb-94,926.27
42,22343,2,1606.72,20,72.86,1-Mar-94,19-Mar-94,1553.86
43,88873,6,2108.16,20,46.72,1-Mar-94,4-Mar-94,2081.44
44,73735,11,154.12,20,7.48,1-Mar-94,16-Mar-94,166.64
45,73735,17,450.23,20,7.79,1-Mar-94,8-Mar-94,462.44
46,87295,29,55.62,20,1.76,1-Mar-94,11-Mar-94,73.86
47,29387,2,3133.8,20,56.56,1-Apr-94,4-Apr-94,3097.24
48,73735,3,1685.52,20,20.64,1-Apr-94,11-Apr-94,1684.88
49,22343,6,2761.2,20,40.4,1-Apr-94,20-Apr-94,2740.8
50,51512,11,825.15,20,27.39,1-Apr-94,5-Apr-94,817.76
51,22343,15,203.07,20,3.67,1-Apr-94,2-Apr-94,219.4
52,87295,16,287.31,20,12.82,1-Apr-94,11-Apr-94,294.49
53,88873,17,583.81,20,19.63,1-Apr-94,12-Apr-94,584.18
54,29387,18,456.74,20,17.52,1-Apr-94,12-Apr-94,459.22
55,87295,29,260.57,20,9.29,1-Apr-94,19-Apr-94,271.28
56,51512,2,6970.87,20,186.12,1-May-94,10-May-94,6804.75
57,15293,3,4867.44,20,1.44,1-May-94,20-May-94,4886
58,15293,5,155.5,20,1.16,1-May-94,11-May-94,174.34
59,73735,6,2359.5,20,114.89,1-May-94,14-May-94,2264.61
60,87295,11,1227.48,20,5.68,1-May-94,20-May-94,1241.8
61,29387,15,679.19,20,8.2,1-May-94,10-May-94,690.99
62,88873,16,938.19,20,0.6,1-May-94,6-May-94,957.59
63,88873,17,297.94,20,4.03,1-May-94,11-May-94,313.91
64,87295,18,1602.72,20,73.96,1-May-94,4-May-94,1548.76
65,73735,19,474.48,20,19.78,1-May-94,16-May-94,474.7
66,51512,29,252.58,20,4.64,1-May-94,9-May-94,267.94
67,22343,33,891.44,20,2.07,1-May-94,12-May-94,909.37
68,88873,2,11873.46,20,316.28,1-Jun-94,3-Jun-94,11577.18
69,87295,3,5456.43,20,84.64,1-Jun-94,2-Jun-94,5391.79
70,73735,5,603.42,20,3.45,1-Jun-94,8-Jun-94,619.97
71,29387,6,3045.7,20,70.11,1-Jun-94,19-Jun-94,2995.59
72,87295,11,1448.04,20,31.9,1-Jun-94,5-Jun-94,1436.14
73,51512,15,586.53,20,8.13,1-Jun-94,1-Jun-94,598.4
74,15293,16,1828.4,20,73.2,1-Jun-94,14-Jun-94,1775.2
75,89097,17,427.55,20,3.34,1-Jun-94,14-Jun-94,444.21
76,88873,18,2077.38,20,26.72,1-Jun-94,12-Jun-94,2070.66
77,22343,19,503.37,20,19.67,1-Jun-94,15-Jun-94,503.7
78,89097,29,413.76,20,20.37,1-Jun-94,7-Jun-94,413.39
79,22343,33,7293.37,20,188.92,1-Jun-94,17-Jun-94,7124.45
80,15293,2,16252.15,20,759.95,1-Jul-94,11-Jul-94,15512.2
81,89097,3,5357,20,194.64,1-Jul-94,7-Jul-94,5182.36
82,51512,5,952.01,20,32.37,1-Jul-94,5-Jul-94,939.64
83,22343,6,2575.26,20,67.48,1-Jul-94,2-Jul-94,2527.78
84,22343,10,114.65,20,2.64,1-Jul-94,16-Jul-94,132.01
85,29387,11,1202.03,20,26.7,1-Jul-94,7-Jul-94,1195.33
86,22343,12,733.59,20,31.03,1-Jul-94,17-Jul-94,722.56
87,15293,15,470.88,20,6.11,1-Jul-94,12-Jul-94,484.77
88,29387,16,1167.53,20,32.22,1-Jul-94,9-Jul-94,1155.31
89,15293,17,350.62,20,4.71,1-Jul-94,12-Jul-94,365.91
90,87295,18,1347.72,20,17.11,1-Jul-94,17-Jul-94,1350.61
91,29387,19,121.46,20,4.67,1-Jul-94,1-Jul-94,136.79
92,51512,29,738.05,20,14.48,1-Jul-94,18-Jul-94,743.57
93,87295,33,9965.86,20,419,1-Jul-94,11-Jul-94,9566.86
94,73735,34,726.54,20,15.78,1-Jul-94,6-Jul-94,730.76
95,51512,2,30278.54,20,1340.12,1-Aug-94,20-Aug-94,28958.42
96,87295,3,8437.49,20,60.06,1-Aug-94,9-Aug-94,8397.43
97,73735,5,1770.23,20,61.06,1-Aug-94,8-Aug-94,1729.17
98,87295,6,3721.77,20,178.7,1-Aug-94,12-Aug-94,3563.07
99,22343,8,1603.01,20,66.57,1-Aug-94,18-Aug-94,1556.44
100,88873,9,465.3,20,10.83,1-Aug-94,12-Aug-94,474.47
101,22343,10,93.96,20,3.6,1-Aug-94,3-Aug-94,110.36
102,73735,11,1823.61,20,86.61,1-Aug-94,17-Aug-94,1757
103,51512,12,1601.32,20,55.75,1-Aug-94,16-Aug-94,1565.57
104,29387,15,1535.03,20,7.26,1-Aug-94,12-Aug-94,1547.77
105,51512,16,2003.53,20,47.56,1-Aug-94,12-Aug-94,1975.97
106,88873,17,530.62,20,24.16,1-Aug-94,3-Aug-94,526.46
107,22343,18,6831.51,20,257.68,1-Aug-94,16-Aug-94,6593.83
108,51512,19,223.32,20,2.72,1-Aug-94,18-Aug-94,240.6
109,88873,29,1539.4,20,64.9,1-Aug-94,20-Aug-94,1494.5
110,88873,33,22655.71,20,213.53,1-Aug-94,11-Aug-94,22462.18
111,15293,34,4878.84,20,240.29,1-Aug-94,8-Aug-94,4658.55
112,51512,2,28138.89,20,24.2,1-Sep-94,11-Sep-94,28134.69
113,15293,3,8348.03,20,253.86,1-Sep-94,14-Sep-94,8114.17
114,73735,4,1029.12,20,28.4,1-Sep-94,21-Sep-94,1020.72
115,73735,5,1572.82,20,5.83,1-Sep-94,5-Sep-94,1586.99
116,89097,6,2732.44,20,60.26,1-Sep-94,10-Sep-94,2692.18
117,89097,8,3361.62,20,131.57,1-Sep-94,9-Sep-94,3250.05
118,87295,9,1085.04,20,46.87,1-Sep-94,1-Sep-94,1058.17
119,87295,10,204.84,20,6.98,1-Sep-94,19-Sep-94,217.86
120,15293,11,1326.84,20,61.75,1-Sep-94,19-Sep-94,1285.09
121,22343,12,1321.92,20,1.34,1-Sep-94,20-Sep-94,1340.58
122,22343,15,1203.5,20,48.35,1-Sep-94,14-Sep-94,1175.15
123,29387,16,1398.6,20,41.39,1-Sep-94,5-Sep-94,1377.21
124,22343,17,361.55,20,11.15,1-Sep-94,11-Sep-94,370.4
125,29387,18,4802.76,20,85.99,1-Sep-94,9-Sep-94,4736.77
126,87295,19,227.76,20,1.93,1-Sep-94,13-Sep-94,245.83
127,22343,29,1061.5,20,15.56,1-Sep-94,5-Sep-94,1065.94
128,87295,33,19239.18,20,580.5,1-Sep-94,2-Sep-94,18678.68
129,89097,34,12096.64,20,330.08,1-Sep-94,12-Sep-94,11786.56
130,22343,2,31451.68,20,879.86,1-Oct-94,3-Oct-94,30591.82
131,51512,3,7153.97,20,162.91,1-Oct-94,11-Oct-94,7011.06
132,22343,4,620.05,20,25.97,1-Oct-94,19-Oct-94,614.08
133,22343,5,2142.53,20,93.26,1-Oct-94,13-Oct-94,2069.27
134,87295,6,2731.87,20,81.64,1-Oct-94,2-Oct-94,2670.23
135,15293,8,4886.55,20,143.69,1-Oct-94,14-Oct-94,4762.86
136,22343,9,1281.66,20,36.47,1-Oct-94,18-Oct-94,1265.19
137,22343,10,241.23,20,4.79,1-Oct-94,17-Oct-94,256.44
138,73735,11,1308.3,20,38.55,1-Oct-94,6-Oct-94,1289.75
139,89097,12,1724,20,8.73,1-Oct-94,11-Oct-94,1735.27
140,87295,15,1482.24,20,56.28,1-Oct-94,20-Oct-94,1445.96
141,89097,16,1450.59,20,59.16,1-Oct-94,12-Oct-94,1411.43
142,22343,17,350.27,20,17.43,1-Oct-94,3-Oct-94,352.84
143,15293,18,6571.25,20,199.44,1-Oct-94,5-Oct-94,6391.81
144,29387,19,226.68,20,2.16,1-Oct-94,2-Oct-94,244.52
145,22343,29,1035.42,20,29.9,1-Oct-94,15-Oct-94,1025.52
146,89097,33,17798.97,20,410.74,1-Oct-94,2-Oct-94,17408.23
147,15293,34,14025.23,20,514.95,1-Oct-94,9-Oct-94,13530.28
148,73735,2,29982.06,20,1497.85,1-Nov-94,5-Nov-94,28504.21
149,29387,3,8837.87,20,89,1-Nov-94,14-Nov-94,8768.87
150,87295,4,918.61,20,13.28,1-Nov-94,13-Nov-94,925.33
151,51512,5,1577.04,20,73.27,1-Nov-94,10-Nov-94,1523.77
152,87295,6,2657.12,20,62.35,1-Nov-94,8-Nov-94,2614.77
153,88873,8,6171.44,20,15.98,1-Nov-94,10-Nov-94,6175.46
154,29387,9,1659.4,20,34.2,1-Nov-94,6-Nov-94,1645.2
155,51512,10,109.4,20,0.6,1-Nov-94,18-Nov-94,128.8
156,29387,11,1290.95,20,49.54,1-Nov-94,16-Nov-94,1261.41
157,73735,12,1306.08,20,39.19,1-Nov-94,1-Nov-94,1286.89
158,15293,15,1233.15,20,6.8,1-Nov-94,12-Nov-94,1246.35
159,15293,16,1746.68,20,41.54,1-Nov-94,18-Nov-94,1725.14
160,15293,17,380.65,20,15.14,1-Nov-94,3-Nov-94,385.51
161,89097,18,6170.25,20,174.87,1-Nov-94,8-Nov-94,6015.38
162,73735,19,286.55,20,3.42,1-Nov-94,8-Nov-94,303.13
163,73735,29,1018.36,20,25.36,1-Nov-94,4-Nov-94,1013
164,73735,33,21129.41,20,625.99,1-Nov-94,1-Nov-94,20523.42
165,51512,34,9659.3,20,461.23,1-Nov-94,15-Nov-94,9218.07
166,22343,2,41916.48,20,404.01,1-Dec-94,14-Dec-94,41532.47
167,87295,3,12614.84,20,229.77,1-Dec-94,6-Dec-94,12405.07
168,29387,4,1432.53,20,38.92,1-Dec-94,13-Dec-94,1413.61
169,22343,5,2675.94,20,52.61,1-Dec-94,13-Dec-94,2643.33
170,15293,6,3260.77,20,120.5,1-Dec-94,5-Dec-94,3160.27
171,29387,8,14782.43,20,444.21,1-Dec-94,3-Dec-94,14358.22
172,22343,9,1623.94,20,19.36,1-Dec-94,9-Dec-94,1624.58
173,73735,10,313.88,20,0.8,1-Dec-94,4-Dec-94,333.08
174,15293,11,1548.21,20,23.17,1-Dec-94,9-Dec-94,1545.04
175,87295,12,1482.84,20,30.54,1-Dec-94,18-Dec-94,1472.3
176,29387,15,2179.09,20,87.26,1-Dec-94,2-Dec-94,2111.83
177,87295,16,2697.21,20,36.05,1-Dec-94,15-Dec-94,2681.16
178,88873,17,482.6,20,7.7,1-Dec-94,11-Dec-94,494.9
179,73735,18,8904.29,20,255.81,1-Dec-94,19-Dec-94,8668.48
180,15293,19,170.79,20,2.56,1-Dec-94,10-Dec-94,188.23
181,87295,29,1322.02,20,31.96,1-Dec-94,7-Dec-94,1310.06
182,29387,33,19154.7,20,407.07,1-Dec-94,9-Dec-94,18767.63
183,15293,34,19894.39,20,983.34,1-Dec-94,7-Dec-94,18931.05
184,87295,2,37695.06,20,1381.3,1-Jan-95,9-Jan-95,36333.76
185,15293,3,10015.39,20,387.38,1-Jan-95,9-Jan-95,9648.01
186,15293,4,1068.72,20,20.82,1-Jan-95,19-Jan-95,1067.9
187,15293,5,2123.04,20,81.93,1-Jan-95,2-Jan-95,2061.11
188,15293,6,2702.75,20,88.07,1-Jan-95,4-Jan-95,2634.68
189,29387,8,10379.68,20,137.67,1-Jan-95,2-Jan-95,10262.01
190,29387,9,2192.82,20,86.47,1-Jan-95,18-Jan-95,2126.35
191,22343,10,286.52,20,7.44,1-Jan-95,10-Jan-95,299.08
192,29387,11,1308.58,20,5.55,1-Jan-95,16-Jan-95,1323.03
193,87295,12,1086.41,20,45.22,1-Jan-95,9-Jan-95,1061.19
194,51512,15,1779.49,20,8.97,1-Jan-95,7-Jan-95,1790.52
195,22343,16,3715.79,20,182.92,1-Jan-95,16-Jan-95,3552.87
196,73735,17,321.58,20,1.77,1-Jan-95,2-Jan-95,339.81
197,51512,18,7450.33,20,348.78,1-Jan-95,19-Jan-95,7121.55
198,22343,19,482.16,20,16.44,1-Jan-95,16-Jan-95,485.72
199,15293,29,788.59,20,24.76,1-Jan-95,2-Jan-95,783.83
200,51512,33,18921.61,20,589.64,1-Jan-95,12-Jan-95,18351.97
201,87295,34,15744.55,20,762.81,1-Jan-95,13-Jan-95,15001.74
202,73735,2,178.5,20,4.92,1-Feb-94,3-Feb-94,193.58
203,89097,11,14.16,20,0.65,1-Feb-94,9-Feb-94,33.51
204,87295,11,93.4,20,1.15,1-Mar-94,5-Mar-94,112.25
205,29387,2,254.52,20,10.52,1-Apr-94,7-Apr-94,264
206,88873,2,41.72,20,0.83,1-May-94,3-May-94,60.89
207,29387,5,302.88,20,7.81,1-May-94,9-May-94,315.07
208,51512,15,103.02,20,1.75,1-May-94,11-May-94,121.27
209,22343,29,93.27,20,0.72,1-May-94,5-May-94,112.55
210,22343,33,800.44,20,10.81,1-May-94,7-May-94,809.63
211,51512,2,468.42,20,8.14,1-Jun-94,5-Jun-94,480.28
212,15293,5,130.5,20,2.06,1-Jun-94,11-Jun-94,148.44
213,22343,15,374.88,20,4,1-Jun-94,16-Jun-94,390.88
214,73735,29,287.64,20,2.58,1-Jun-94,3-Jun-94,305.06
215,15293,33,622.86,20,20.25,1-Jun-94,9-Jun-94,622.61
216,15293,15,409.64,20,16.73,1-Jul-94,13-Jul-94,412.91
217,51512,33,1134.84,20,6.57,1-Jul-94,7-Jul-94,1148.27
218,51512,34,1045.26,20,0.58,1-Jul-94,19-Jul-94,1064.68
219,29387,2,221.28,20,6,1-Aug-94,13-Aug-94,235.28
220,51512,5,666.14,20,29.94,1-Aug-94,1-Aug-94,656.2
221,29387,34,366.26,20,15.11,1-Aug-94,19-Aug-94,371.15
222,88873,2,500.29,20,6.05,1-Sep-94,20-Sep-94,514.24
223,51512,3,614.31,20,28.81,1-Sep-94,1-Sep-94,605.5
224,89097,5,69.44,20,1.02,1-Sep-94,16-Sep-94,88.42
225,88873,8,1298.95,20,53.28,1-Sep-94,19-Sep-94,1265.67
226,88873,15,34.39,20,0.74,1-Sep-94,15-Sep-94,53.65
227,88873,8,2538.7,20,7.27,1-Oct-94,1-Oct-94,2551.43
228,87295,8,1542.72,20,29.51,1-Nov-94,18-Nov-94,1533.21
229,51512,16,190.46,20,1.11,1-Nov-94,9-Nov-94,209.35
