MANUFACTURERID,TRANSACTIONDATE,EMPLOYEE,AMOUNT,DESCRIPTION,REFERENCE
3,14-Dec-94,88873,-8768.87,Automatic payment of bills,149
3,2-Jul-94,15293,-5391.79,Automatic payment of bills,69
3,24-Jun-94,51512,-4886,Automatic payment of bills,57
3,20-Apr-00,51512,1261.68,Automatic EOQ Inventory purchase,7303
3,20-May-94,15293,4886,Automatic EOQ Inventory purchase,57
3,8-Oct-96,22343,18723.18,Automatic EOQ Inventory purchase,588
3,11-Apr-94,73735,1684.88,Automatic EOQ Inventory purchase,48
3,2-Feb-94,51512,-105024,Automatic payment of bills,3
3,1-Jan-94,87295,105024,Initial Purchase for startup,3
3,9-Aug-94,87295,8397.43,Automatic EOQ Inventory purchase,96
3,13-Mar-95,22343,-14932.08,Automatic payment of bills,248
3,9-Jul-95,15293,-15948.17,Automatic payment of bills,316
3,4-Jul-95,89097,18671.72,Automatic EOQ Inventory purchase,333
3,12-Jun-95,87295,15948.17,Automatic EOQ Inventory purchase,316
3,29-May-95,29387,-13756.16,Automatic payment of bills,299
3,13-May-95,73735,-16990.87,Automatic payment of bills,282
3,3-May-95,22343,13756.16,Automatic EOQ Inventory purchase,299
3,16-Apr-95,87295,-17401.71,Automatic payment of bills,265
3,13-Apr-95,51512,16990.87,Automatic EOQ Inventory purchase,282
3,14-Nov-94,29387,8768.87,Automatic EOQ Inventory purchase,149
3,19-Mar-95,22343,17401.71,Automatic EOQ Inventory purchase,265
3,6-Dec-94,87295,12405.07,Automatic EOQ Inventory purchase,167
3,3-Mar-95,88873,-12405.07,Automatic payment of bills,167
3,19-Feb-95,22343,795.76,Automatic EOQ Inventory purchase,233
3,10-Feb-95,51512,14932.08,Automatic EOQ Inventory purchase,248
3,6-Feb-95,88873,12405.07,Automatic refund for overpayment,167
3,4-Feb-95,51512,-9648.01,Automatic payment of bills,185
3,9-Jan-95,15293,9648.01,Automatic EOQ Inventory purchase,185
2,6-Aug-01,88873,76516.84,Automatic EOQ Inventory purchase,7692
2,28-Oct-01,89097,-82350.26,Automatic payment of bills,7717
2,12-Oct-01,87295,-69858.88,Automatic payment of bills,8326
2,11-Oct-01,73735,70544.61,Automatic EOQ Inventory purchase,7742
2,3-Oct-01,29387,38401.69,Automatic EOQ Inventory purchase,8346
2,30-Sep-01,51512,82350.26,Automatic EOQ Inventory purchase,7717
2,11-Sep-01,88873,69858.88,Automatic EOQ Inventory purchase,8326
2,31-Aug-01,51512,-53812.47,Automatic payment of bills,8307
2,31-Aug-01,15293,-76516.84,Automatic payment of bills,7692
2,7-May-02,89097,-57001.88,Automatic payment of bills,8468
2,12-Aug-01,88873,-77439.42,Automatic payment of bills,8287
2,14-Nov-01,22343,76803.21,Automatic EOQ Inventory purchase,8365
2,4-Aug-01,88873,53812.47,Automatic EOQ Inventory purchase,8307
2,2-Aug-01,87295,-77450.04,Automatic payment of bills,7642
2,22-Jul-01,51512,-70021.87,Automatic payment of bills,8267
2,21-Jul-01,51512,78384.89,Automatic EOQ Inventory purchase,7667
2,15-Jul-01,87295,77439.42,Automatic EOQ Inventory purchase,8287
2,10-Jul-01,88873,77450.04,Automatic EOQ Inventory purchase,7642
2,19-Jun-01,88873,70021.87,Automatic EOQ Inventory purchase,8267
2,10-Jun-01,73735,-77038.04,Automatic payment of bills,8247
2,24-Aug-01,15293,-78384.89,Automatic payment of bills,7667
2,5-Feb-02,15293,75510.95,Automatic EOQ Inventory purchase,7817
2,13-Feb-00,73735,-122994.92,Automatic payment of bills,7238
2,26-Apr-02,89097,78392.9,Automatic EOQ Inventory purchase,7892
2,12-Apr-02,29387,-41957.4,Automatic payment of bills,8446
2,4-Apr-02,89097,57001.88,Automatic EOQ Inventory purchase,8468
2,19-Mar-02,15293,-57700.92,Automatic payment of bills,8424
2,14-Mar-02,88873,41957.4,Automatic EOQ Inventory purchase,8446
2,14-Mar-02,51512,-75510.95,Automatic payment of bills,7817
2,16-Feb-02,29387,57700.92,Automatic EOQ Inventory purchase,8424
2,3-Nov-01,89097,-38401.69,Automatic payment of bills,8346
2,10-Feb-02,51512,-102350.78,Automatic payment of bills,8404
2,4-Nov-01,22343,-70544.61,Automatic payment of bills,7742
2,29-Jan-02,73735,-77546,Automatic payment of bills,7792
2,15-Jan-02,89097,-93304.85,Automatic payment of bills,8384
2,10-Jan-02,88873,102350.78,Automatic EOQ Inventory purchase,8404
2,30-Dec-01,73735,77546,Automatic EOQ Inventory purchase,7792
2,21-Dec-01,51512,-78684.62,Automatic payment of bills,7767
2,20-Dec-01,87295,-76803.21,Automatic payment of bills,8365
2,17-Dec-01,51512,93304.85,Automatic EOQ Inventory purchase,8384
2,17-Nov-01,51512,78684.62,Automatic EOQ Inventory purchase,7767
2,12-May-01,88873,-69949.19,Automatic payment of bills,7592
2,12-Feb-02,87295,80652.8,Automatic EOQ Inventory purchase,7842
2,29-May-00,22343,-5558.33,Automatic payment of bills,7302
2,31-May-01,22343,-77210.16,Automatic payment of bills,7617
2,21-Sep-00,73735,-71127.74,Automatic payment of bills,7392
2,4-Sep-00,88873,88603,Automatic EOQ Inventory purchase,7417
2,18-Aug-00,88873,71127.74,Automatic EOQ Inventory purchase,7392
2,27-Jul-00,29387,-79855.67,Automatic payment of bills,7367
2,6-Jul-00,22343,79855.67,Automatic EOQ Inventory purchase,7367
2,5-Jul-00,51512,-78849.83,Automatic payment of bills,7342
2,27-Jun-00,89097,-30614.93,Automatic payment of bills,7317
2,2-Nov-00,87295,85288.54,Automatic EOQ Inventory purchase,7467
2,1-Jun-00,51512,30614.93,Automatic EOQ Inventory purchase,7317
2,7-Nov-00,87295,77219.45,Automatic EOQ Inventory purchase,7442
2,2-May-00,29387,5558.33,Automatic EOQ Inventory purchase,7302
2,12-Apr-00,29387,-750.21,Automatic payment of bills,7300
2,5-Apr-00,89097,-119068.41,Automatic payment of bills,1439
2,21-Mar-00,51512,750.21,Automatic EOQ Inventory purchase,7300
2,20-Mar-00,73735,-4430.76,Automatic payment of bills,7264
2,13-Mar-00,51512,119068.41,Automatic EOQ Inventory purchase,1439
2,5-Mar-00,73735,-150128.61,Automatic payment of bills,1414
2,27-Feb-00,73735,-15819.43,Automatic payment of bills,7282
2,20-Feb-00,51512,4430.76,Automatic EOQ Inventory purchase,7264
2,4-Jun-00,88873,78849.83,Automatic EOQ Inventory purchase,7342
2,19-Mar-01,22343,108406.14,Automatic EOQ Inventory purchase,8208
2,9-May-02,88873,83381.29,Automatic EOQ Inventory purchase,7917
2,11-May-01,51512,-66961.29,Automatic payment of bills,7567
2,7-May-01,22343,77038.04,Automatic EOQ Inventory purchase,8247
2,4-May-01,51512,77210.16,Automatic EOQ Inventory purchase,7617
2,20-Apr-01,51512,69949.19,Automatic EOQ Inventory purchase,7592
2,18-Apr-01,87295,-108406.14,Automatic payment of bills,8208
2,17-Apr-01,51512,69519.12,Automatic EOQ Inventory purchase,8228
2,9-Apr-01,87295,66961.29,Automatic EOQ Inventory purchase,7567
2,4-Oct-00,29387,-88603,Automatic payment of bills,7417
2,20-Mar-01,29387,-11191.87,Automatic payment of bills,8188
2,13-May-01,73735,-69519.12,Automatic payment of bills,8228
2,1-Mar-01,73735,94085.42,Automatic EOQ Inventory purchase,7542
2,23-Feb-01,73735,78154.6,Automatic refund for overpayment,7492
2,20-Feb-01,51512,-84526.53,Automatic payment of bills,7517
2,19-Feb-01,73735,11191.87,Automatic EOQ Inventory purchase,8188
2,24-Jan-01,51512,-78154.6,Automatic payment of bills,7492
2,20-Jan-01,51512,84526.53,Automatic EOQ Inventory purchase,7517
2,28-Dec-00,51512,78154.6,Automatic EOQ Inventory purchase,7492
2,26-Nov-00,29387,-77219.45,Automatic payment of bills,7442
2,24-Nov-00,88873,-85288.54,Automatic payment of bills,7467
2,5-Apr-01,51512,-94085.42,Automatic payment of bills,7542
2,12-Nov-03,22343,76284.33,Automatic EOQ Inventory purchase,8920
2,9-Apr-04,73735,151506.36,Automatic EOQ Inventory purchase,9050
2,2-Apr-04,15293,-139275.44,Automatic payment of bills,9024
2,6-Mar-04,29387,-147421.6,Automatic payment of bills,8998
2,4-Mar-04,22343,139275.44,Automatic EOQ Inventory purchase,9024
2,10-Feb-04,15293,-167450.09,Automatic payment of bills,8972
2,4-Feb-04,87295,147421.6,Automatic EOQ Inventory purchase,8998
2,10-Jan-04,51512,167450.09,Automatic EOQ Inventory purchase,8972
2,8-Jan-04,88873,-137563.44,Automatic payment of bills,8946
2,28-Apr-02,73735,-69446.18,Automatic payment of bills,7867
2,11-Dec-03,15293,137563.44,Automatic EOQ Inventory purchase,8946
2,5-Jun-04,51512,-83867.23,Automatic payment of bills,9077
2,6-Nov-03,29387,-83742.46,Automatic payment of bills,8894
2,8-Oct-03,29387,-102962.23,Automatic payment of bills,8869
2,7-Oct-03,22343,83742.46,Automatic EOQ Inventory purchase,8894
2,6-Sep-03,29387,102962.23,Automatic EOQ Inventory purchase,8869
2,2-Sep-03,89097,-104152,Automatic payment of bills,8844
2,4-Aug-03,73735,-109111.86,Automatic payment of bills,8819
2,1-Aug-03,51512,104152,Automatic EOQ Inventory purchase,8844
2,11-Jul-03,51512,109111.86,Automatic EOQ Inventory purchase,8819
2,18-Dec-03,87295,-76284.33,Automatic payment of bills,8920
2,17-Oct-04,22343,-106904.77,Automatic payment of bills,9186
2,1-Jan-94,87295,250902.9,Initial Purchase for startup,2
2,6-Mar-05,87295,-164524.22,Automatic payment of bills,9326
2,10-Feb-05,29387,-145703.95,Automatic payment of bills,9298
2,2-Feb-05,89097,164524.22,Automatic EOQ Inventory purchase,9326
2,11-Jan-05,29387,145703.95,Automatic EOQ Inventory purchase,9298
2,7-Jan-05,51512,-141199.62,Automatic payment of bills,9270
2,8-Dec-04,87295,141199.62,Automatic EOQ Inventory purchase,9270
2,5-Dec-04,73735,-69422.43,Automatic payment of bills,9242
2,7-May-04,51512,83867.23,Automatic EOQ Inventory purchase,9077
2,7-Nov-04,29387,69422.43,Automatic EOQ Inventory purchase,9242
2,12-May-04,22343,-151506.36,Automatic payment of bills,9050
2,13-Oct-04,87295,64993.04,Automatic EOQ Inventory purchase,9214
2,13-Sep-04,73735,106904.77,Automatic EOQ Inventory purchase,9186
2,8-Sep-04,22343,-108766.24,Automatic payment of bills,9158
2,12-Aug-04,88873,108766.24,Automatic EOQ Inventory purchase,9158
2,1-Aug-04,88873,-88780.56,Automatic payment of bills,9131
2,19-Jul-04,87295,-90245.81,Automatic payment of bills,9104
2,2-Jul-04,22343,88780.56,Automatic EOQ Inventory purchase,9131
2,19-Jun-04,73735,90245.81,Automatic EOQ Inventory purchase,9104
2,28-May-03,88873,-116889.22,Automatic payment of bills,8769
2,12-Nov-04,88873,-64993.04,Automatic payment of bills,9214
2,31-Jul-02,88873,84583.07,Automatic EOQ Inventory purchase,7967
2,8-Jul-03,22343,-126492.56,Automatic payment of bills,8794
2,2-Oct-02,22343,-101102.38,Automatic payment of bills,8580
2,26-Sep-02,22343,72317.69,Automatic EOQ Inventory purchase,8017
2,21-Sep-02,73735,-64407.69,Automatic payment of bills,7992
2,18-Sep-02,22343,-105302.69,Automatic payment of bills,8557
2,7-Sep-02,22343,-84583.07,Automatic payment of bills,7967
2,4-Sep-02,22343,101102.38,Automatic EOQ Inventory purchase,8580
2,20-Aug-02,51512,64407.69,Automatic EOQ Inventory purchase,7992
2,6-Oct-02,15293,65456.33,Automatic EOQ Inventory purchase,8042
2,17-Aug-02,29387,-51428.97,Automatic payment of bills,8535
2,23-Oct-02,87295,-72317.69,Automatic payment of bills,8017
2,19-Jul-02,22343,51428.97,Automatic EOQ Inventory purchase,8535
2,15-Jul-02,29387,-64879.04,Automatic payment of bills,8512
2,25-Jun-02,29387,-79996.76,Automatic payment of bills,7942
2,20-Jun-02,87295,-69342.11,Automatic payment of bills,8490
2,14-Jun-02,29387,64879.04,Automatic EOQ Inventory purchase,8512
2,7-Jun-02,87295,-83381.29,Automatic payment of bills,7917
2,1-Jun-02,87295,79996.76,Automatic EOQ Inventory purchase,7942
2,20-May-02,51512,69342.11,Automatic EOQ Inventory purchase,8490
2,15-May-02,22343,-78392.9,Automatic payment of bills,7892
2,17-Aug-02,88873,105302.69,Automatic EOQ Inventory purchase,8557
2,4-Jan-03,73735,129167.9,Automatic EOQ Inventory purchase,8669
2,19-Mar-02,22343,-80652.8,Automatic payment of bills,7842
2,2-May-03,51512,116889.22,Automatic EOQ Inventory purchase,8769
2,1-May-03,87295,-143273.4,Automatic payment of bills,8743
2,4-Apr-03,22343,143273.4,Automatic EOQ Inventory purchase,8743
2,1-Apr-03,51512,-123570.4,Automatic payment of bills,8718
2,6-Mar-03,51512,123570.4,Automatic EOQ Inventory purchase,8718
2,5-Mar-03,73735,-131585.45,Automatic payment of bills,8693
2,3-Feb-03,87295,131585.45,Automatic EOQ Inventory purchase,8693
2,2-Oct-02,29387,52819.24,Automatic EOQ Inventory purchase,8603
2,7-Jan-03,15293,-107051.92,Automatic payment of bills,8647
2,5-Jun-03,29387,126492.56,Automatic EOQ Inventory purchase,8794
2,30-Dec-02,73735,-68858.31,Automatic payment of bills,8092
2,17-Dec-02,87295,-67220.58,Automatic payment of bills,8625
2,11-Dec-02,73735,107051.92,Automatic EOQ Inventory purchase,8647
2,11-Dec-02,29387,-66544.01,Automatic payment of bills,8067
2,7-Dec-02,88873,68858.31,Automatic EOQ Inventory purchase,8092
2,14-Nov-02,51512,67220.58,Automatic EOQ Inventory purchase,8625
2,12-Nov-02,29387,66544.01,Automatic EOQ Inventory purchase,8067
2,12-Nov-02,22343,-65456.33,Automatic payment of bills,8042
2,1-Nov-02,87295,-52819.24,Automatic payment of bills,8603
2,2-Feb-03,29387,-129167.9,Automatic payment of bills,8669
2,15-Aug-95,22343,44799.51,Automatic EOQ Inventory purchase,349
2,18-Mar-95,29387,47565.76,Automatic EOQ Inventory purchase,264
2,3-Jan-96,73735,-40661.21,Automatic payment of bills,417
2,7-Dec-95,87295,40661.21,Automatic EOQ Inventory purchase,417
2,6-Dec-95,51512,-37374.59,Automatic payment of bills,400
2,11-Nov-95,51512,37374.59,Automatic EOQ Inventory purchase,400
2,5-Nov-95,73735,-55035.05,Automatic payment of bills,383
2,7-Oct-95,88873,55035.05,Automatic EOQ Inventory purchase,383
2,2-Oct-95,15293,-48633.19,Automatic payment of bills,366
2,3-Feb-96,89097,40661.21,Automatic refund for overpayment,417
2,4-Sep-95,22343,48633.19,Automatic EOQ Inventory purchase,366
2,14-Feb-96,73735,-44521.28,Automatic payment of bills,434
2,7-Aug-95,51512,-46830.59,Automatic payment of bills,332
2,10-Jul-95,22343,-44228.9,Automatic payment of bills,315
2,9-Jul-95,87295,46830.59,Automatic EOQ Inventory purchase,332
2,14-Jun-95,15293,44228.9,Automatic EOQ Inventory purchase,315
2,14-Jun-95,89097,-41699.59,Automatic payment of bills,298
2,15-May-95,29387,41699.59,Automatic EOQ Inventory purchase,298
2,5-May-95,73735,-49424.02,Automatic payment of bills,281
2,14-Apr-95,89097,-47565.76,Automatic payment of bills,264
2,7-Dec-96,29387,73883.81,Automatic EOQ Inventory purchase,621
2,15-Sep-95,73735,-44799.51,Automatic payment of bills,349
2,16-Jun-96,22343,73669.56,Automatic EOQ Inventory purchase,519
2,10-Nov-96,15293,60713.41,Automatic EOQ Inventory purchase,604
2,4-Nov-96,88873,-63347.24,Automatic payment of bills,587
2,17-Oct-96,51512,-76344.5,Automatic payment of bills,570
2,6-Oct-96,89097,63347.24,Automatic EOQ Inventory purchase,587
2,18-Sep-96,51512,76344.5,Automatic EOQ Inventory purchase,570
2,10-Sep-96,22343,-58574.32,Automatic payment of bills,553
2,9-Aug-96,88873,58574.32,Automatic EOQ Inventory purchase,553
2,8-Aug-96,29387,-56178.85,Automatic payment of bills,536
2,12-Jan-96,22343,44521.28,Automatic EOQ Inventory purchase,434
2,8-Jul-96,29387,56178.85,Automatic EOQ Inventory purchase,536
2,16-Mar-95,29387,-3654.71,Automatic payment of bills,232
2,1-Jun-96,29387,-74566.01,Automatic payment of bills,502
2,16-May-96,87295,-64251.85,Automatic payment of bills,485
2,3-May-96,29387,74566.01,Automatic EOQ Inventory purchase,502
2,15-Apr-96,29387,64251.85,Automatic EOQ Inventory purchase,485
2,10-Apr-96,73735,-63773.79,Automatic payment of bills,468
2,18-Mar-96,15293,-32210.41,Automatic payment of bills,451
2,12-Mar-96,29387,63773.79,Automatic EOQ Inventory purchase,468
2,6-Mar-96,51512,-40661.21,Automatic payment of bills,417
2,16-Feb-96,87295,32210.41,Automatic EOQ Inventory purchase,451
2,18-Jul-96,51512,-73669.56,Automatic payment of bills,519
2,3-May-94,88873,60.89,Automatic EOQ Inventory purchase,206
2,6-Apr-95,88873,49424.02,Automatic EOQ Inventory purchase,281
2,6-Jul-94,22343,-480.28,Automatic payment of bills,211
2,30-Jun-94,73735,-11577.18,Automatic payment of bills,68
2,11-Jun-94,22343,-6804.75,Automatic payment of bills,56
2,9-Jun-94,87295,-60.89,Automatic payment of bills,206
2,5-Jun-94,51512,480.28,Automatic EOQ Inventory purchase,211
2,3-Jun-94,88873,11577.18,Automatic EOQ Inventory purchase,68
2,10-May-94,51512,6804.75,Automatic EOQ Inventory purchase,56
2,10-Aug-94,89097,-15512.2,Automatic payment of bills,80
2,5-May-94,15293,-3097.24,Automatic payment of bills,47
2,13-Aug-94,29387,235.28,Automatic EOQ Inventory purchase,219
2,20-Apr-94,22343,-1553.86,Automatic payment of bills,42
2,7-Apr-94,29387,264,Automatic EOQ Inventory purchase,205
2,11-Feb-00,88873,15819.43,Automatic EOQ Inventory purchase,7282
2,19-Mar-94,22343,1553.86,Automatic EOQ Inventory purchase,42
2,30-Mar-02,29387,69446.18,Automatic EOQ Inventory purchase,7867
2,8-Mar-94,73735,-193.58,Automatic payment of bills,202
2,19-Feb-94,15293,7670.33,Automatic EOQ Inventory purchase,36
2,3-Feb-94,73735,193.58,Automatic EOQ Inventory purchase,202
2,31-Jan-94,87295,-250902.9,Automatic payment of bills,2
2,5-May-94,29387,-264,Automatic payment of bills,205
2,5-Nov-94,73735,28504.21,Automatic EOQ Inventory purchase,148
2,15-Mar-95,15293,-41532.47,Automatic payment of bills,166
2,8-Mar-95,51512,-37592.37,Automatic payment of bills,247
2,19-Feb-95,22343,3654.71,Automatic EOQ Inventory purchase,232
2,12-Feb-95,88873,41532.47,Automatic refund for overpayment,166
2,6-Feb-95,73735,37592.37,Automatic EOQ Inventory purchase,247
2,3-Feb-95,87295,-36333.76,Automatic payment of bills,184
2,15-Jan-95,15293,-41532.47,Automatic payment of bills,166
2,9-Jan-95,87295,36333.76,Automatic EOQ Inventory purchase,184
2,11-Jul-94,15293,15512.2,Automatic EOQ Inventory purchase,80
2,6-Dec-94,51512,-28504.21,Automatic payment of bills,148
2,4-Apr-94,29387,3097.24,Automatic EOQ Inventory purchase,47
2,31-Oct-94,89097,-30591.82,Automatic payment of bills,130
2,20-Oct-94,29387,-514.24,Automatic payment of bills,222
2,11-Oct-94,87295,-28134.69,Automatic payment of bills,112
2,3-Oct-94,22343,30591.82,Automatic EOQ Inventory purchase,130
2,20-Sep-94,88873,514.24,Automatic EOQ Inventory purchase,222
2,19-Sep-94,22343,-28958.42,Automatic payment of bills,95
2,14-Sep-94,51512,-235.28,Automatic payment of bills,219
2,11-Sep-94,51512,28134.69,Automatic EOQ Inventory purchase,112
2,20-Aug-94,51512,28958.42,Automatic EOQ Inventory purchase,95
2,14-Dec-94,22343,41532.47,Automatic EOQ Inventory purchase,166
2,13-Jan-99,73735,-37013.36,Automatic payment of bills,1096
2,12-Aug-98,15293,-136838.6,Automatic payment of bills,996
2,3-Apr-99,73735,115055.86,Automatic EOQ Inventory purchase,1164
2,2-Apr-99,87295,-87314.78,Automatic payment of bills,1139
2,16-Mar-99,29387,83.09,Automatic EOQ Inventory purchase,8179
2,11-Mar-99,88873,-7575.45,Automatic payment of bills,1114
2,2-Mar-99,73735,87314.78,Automatic EOQ Inventory purchase,1139
2,14-Feb-99,73735,37013.36,Automatic refund for overpayment,1096
2,6-Feb-99,88873,7575.45,Automatic EOQ Inventory purchase,1114
2,8-May-99,51512,-115055.86,Automatic payment of bills,1164
2,20-Jan-99,73735,66909.63,Automatic EOQ Inventory purchase,8139
2,14-May-99,22343,141251.96,Automatic EOQ Inventory purchase,1189
2,13-Dec-98,88873,28445.7,Automatic EOQ Inventory purchase,8119
2,12-Dec-98,87295,37013.36,Automatic EOQ Inventory purchase,1096
2,1-Dec-98,89097,-133872.16,Automatic payment of bills,1076
2,12-Nov-98,87295,-139877.97,Automatic payment of bills,1056
2,3-Nov-98,89097,133872.16,Automatic EOQ Inventory purchase,1076
2,13-Oct-98,73735,139877.97,Automatic EOQ Inventory purchase,1056
2,30-Sep-98,88873,-144993.83,Automatic payment of bills,1036
2,5-Sep-98,87295,-144459.73,Automatic payment of bills,1016
2,1-Sep-98,51512,144993.83,Automatic EOQ Inventory purchase,1036
2,1-Feb-99,87295,24457.95,Automatic EOQ Inventory purchase,8159
2,28-Oct-99,73735,-75952.73,Automatic payment of bills,1289
2,15-Mar-94,15293,-7670.33,Automatic payment of bills,36
2,13-Dec-96,88873,-60713.41,Automatic payment of bills,604
2,11-Feb-00,29387,119420.22,Automatic refund for overpayment,1363
2,4-Feb-00,15293,150128.61,Automatic EOQ Inventory purchase,1414
2,12-Jan-00,22343,-119420.22,Automatic payment of bills,1363
2,8-Jan-00,22343,149716.07,Automatic EOQ Inventory purchase,1388
2,14-Dec-99,51512,119420.22,Automatic EOQ Inventory purchase,1363
