"CITYID","ZIPCODE","CITY","STATE","AREACODE","POPULATION1990","POPULATION1980","COUNTRY","LATITUDE","LONGITUDE","POPULATIONCDF"
527,"93442","Morro Bay","CA","805",9664,9064,"USA",35.36666,-120.85,0.09754923
528,"94041","Mountain View","CA","415",67365,58655,"USA",37.38334,-122.0833,0.09793516
529,"92405","Muscoy","CA","714",7541,6188,"USA",34.16667,-117.3333,0.09797836
530,"94558","Napa","CA","707",61865,50879,"USA",38.3,-122.2833,0.09833279
531,"91950","National City","CA","619",54249,48772,"USA",32.68333,-117.1,0.09864358
532,"92363","Needles","CA","619",5191,4120,"USA",34.85,-114.6167,0.09867331
533,"94560","Newark","CA","510",37861,32126,"USA",37.53333,-122.0333,0.09889022
534,"92658","Newport Beach","CA","714",66643,62556,"USA",33.61666,-117.9333,0.09927201
535,"93444","Nipomo","CA","805",7109,5247,"USA",35.05,-120.4833,0.09931274
536,"91760","Norco","CA","714",23302,19732,"USA",33.91667,-117.6,0.09944624
537,"95603","North Auburn","CA","916",10301,7619,"USA",38.93333,-121.0833,0.09950525
538,"94025","North Fair Oaks","CA","415",13912,10308,"USA",37.48333,-122.2,0.09958495
539,"95660","North Highlands","CA","916",42105,37825,"USA",38.66667,-121.3667,0.09982617
540,"90650","Norwalk","CA","310",94279,84901,"USA",33.9,-118.0833,0.1003663
541,"94947","Novato","CA","415",47585,43916,"USA",38.1,-122.5833,0.1006389
542,"95361","Oakdale","CA","209",11978,8474,"USA",37.76667,-120.85,0.1007075
543,"94617","Oakland","CA","510",372242,339337,"USA",37.81667,-122.2667,0.1028401
544,"94561","Oakley","CA","510",18374,2816,"USA",38,-121.7167,0.1029453
545,"93445","Oceano","CA","",6169,4478,"USA",35.1,-120.6167,0.1029807
546,"92054","Oceanside","CA","619",128090,76698,"USA",33.2,-117.3833,0.1037145
547,"93308","Oildale","CA","805",26553,23382,"USA",35.41667,-119.0167,0.1038666
548,"93023","Ojai","CA","805",7613,6816,"USA",34.45,-119.25,0.1039102
549,"95961","Olivehurst","CA","916",9738,8929,"USA",39.1,-121.5667,0.103966
550,"91761","Ontario","CA","714",133179,88820,"USA",34.06667,-117.65,0.104729
551,"95060","Opal Cliffs","CA","408",5940,5041,"USA",36.96667,-121.9667,0.104763
552,"92613","Orange","CA","714",110658,91450,"USA",33.78333,-117.85,0.105397
553,"93646","Orange Cove","CA","209",5604,4026,"USA",36.63334,-119.3167,0.1054291
554,"95662","Orangevale","CA","916",26266,20585,"USA",38.68333,-121.2167,0.1055796
555,"94563","Orinda","CA","510",16642,17030,"USA",37.88334,-122.1833,0.1056749
556,"95963","Orland","CA","916",5052,4031,"USA",39.75,-122.2,0.1057039
557,"93647","Orosi","CA","209",5486,4076,"USA",36.55,-119.2833,0.1057353
558,"95965","Oroville","CA","916",11885,8683,"USA",39.51667,-121.55,0.1058034
559,"","Oroville East","","",8462,,"USA",,,0.1058519
560,"93030","Oxnard","CA","805",142560,108195,"USA",34.25,-119.1167,0.1066686
561,"93950","Pacific Grove","CA","408",16117,15755,"USA",36.63334,-121.9333,0.1067609
562,"94044","Pacifica","CA","415",37670,36866,"USA",37.61666,-122.4833,0.1069767
563,"95968","Palermo","CA","916",5260,2572,"USA",39.43333,-121.55,0.1070068
564,"92261","Palm Desert","CA","619",23252,11801,"USA",33.71667,-116.3667,0.1071401
565,"","Palm Desert Country","","",5626,,"USA",,,0.1071723
566,"92263","Palm Springs","CA","619",40144,32359,"USA",33.83333,-116.55,0.1074023
567,"93550","Palmdale","CA","805",68946,12277,"USA",34.58333,-118.1167,0.1077973
568,"94303","Palo Alto","CA","415",55900,55225,"USA",37.45,-122.1667,0.1081175
569,"90274","Palos Verdes Estates","CA","310",13512,14376,"USA",33.78333,-118.4,0.1081949
570,"95969","Paradise","CA","916",25401,22571,"USA",39.76667,-121.6167,0.1083404
571,"90723","Paramount","CA","310",47669,36407,"USA",33.88334,-118.1667,0.1086135
572,"95823","Parkway-So. Sacramento","CA","916",31903,26815,"USA",,,0.1087963
573,"93648","Parlier","CA","209",7938,2902,"USA",36.61666,-119.5333,0.1088418
574,"91109","Pasadena","CA","818",131586,118072,"USA",34.15,-118.15,0.1095956
575,"95363","Patterson","CA","209",8626,3908,"USA",37.46667,-121.1333,0.109645
576,"92509","Pedley","CA","714",8869,,"USA",33.98333,-117.4833,0.1096959
577,"92572","Perris","CA","714",21500,6827,"USA",33.78333,-117.2333,0.109819
578,"94952","Petaluma","CA","707",43166,33834,"USA",38.23333,-122.65,0.1100663
579,"90660","Pico Rivera","CA","310",59177,53387,"USA",34.1,-118,0.1104053
580,"94611","Piedmont","CA","510",10602,10498,"USA",37.83333,-122.2333,0.1104661
581,"94564","Pinole","CA","510",17460,14253,"USA",38,-122.2833,0.1105661
582,"93449","Pismo Beach","CA","805",7669,5364,"USA",35.15,-120.6333,0.1106101
583,"94565","Pittsburg","CA","510",47607,33465,"USA",38.03333,-121.8833,0.1108828
0,"V3L 3P4","New Westminster","BC","604",0,0,"Canada",0,0,0.000005728953
2,"99501","Anchorage","AK","907",226338,174431,"USA",61.21667,-149.9,0.001302409
3,"99708","College","AK","907",11249,4043,"USA",64.86667,-147.8167,0.001366854
4,"99702","Eielson AFB","AK","907",5251,5232,"USA",64.7,-147.1833,0.001396936
5,"99701","Fairbanks","AK","907",30843,22645,"USA",64.85,-147.7167,0.001573635
6,"99801","Juneau","AK","907",26751,19528,"USA",58.3,-134.4167,0.00172689
7,"99611","Kenai","AK","907",6327,4324,"USA",60.55,-151.2667,0.001763137
8,"99901","Ketchikan","AK","907",8263,7198,"USA",55.35,-131.65,0.001810475
9,"99615","Kodiak","AK","907",6365,4756,"USA",57.78333,-152.4,0.00184694
10,"99639","Ninilchik","AK","907",10523,341,"USA",60.05,-151.6667,0.001907226
11,"99835","Sitka","AK","907",8588,7803,"USA",57.05,-135.3333,0.001956426
12,"35007","Alabaster","AL","205",14619,7079,"USA",33.25,-86.81667,0.002040178
13,"35950","Albertville","AL","205",14507,12039,"USA",34.26667,-86.21667,0.002123287
14,"35010","Alexander City","AL","205",14917,13807,"USA",32.93333,-85.96667,0.002208746
15,"36420","Andalusia","AL","334",9269,10415,"USA",31.31667,-86.48333,0.002261848
16,"36201","Anniston","AL","205",26638,29135,"USA",33.65,-85.83334,0.002414456
17,"35016","Arab","AL","205",6321,6053,"USA",34.33333,-86.5,0.002450668
18,"35611","Athens","AL","205",16901,14558,"USA",34.8,-86.96667,0.002547493
19,"36502","Atmore","AL","334",8046,8789,"USA",31.03333,-87.48333,0.002593589
20,"35954","Attalla","AL","205",6859,7737,"USA",34.01667,-86.1,0.002632884
21,"36830","Auburn","AL","334",33830,28471,"USA",32.6,-85.48333,0.002826694
22,"36507","Bay Minette","AL","334",7168,7455,"USA",30.88333,-87.78333,0.002867759
23,"35020","Bessemer","AL","205",33581,31729,"USA",33.4,-86.96667,0.003060143
24,"35203","Birmingham","AL","205",265347,284413,"USA",33.51667,-86.8,0.004580304
25,"35957","Boaz","AL","205",6928,7151,"USA",34.2,-86.16666,0.004619994
26,"36426","Brewton","AL","334",5885,6680,"USA",31.11667,-87.06667,0.004653709
27,"35215","Center Point","AL","205",22658,23317,"USA",33.63334,-86.68333,0.004783515
28,"36611","Chickasaw","AL","205",6649,7402,"USA",30.76667,-88.08334,0.004821607
29,"35045","Clanton","AL","205",7669,5832,"USA",32.85,-86.63333,0.004865543
30,"35055","Cullman","AL","205",13367,13084,"USA",34.18333,-86.85,0.004942121
31,"36322","Daleville","AL","334",5117,4250,"USA",31.31667,-85.71667,0.004971436
32,"36526","Daphne","AL","205",11291,3406,"USA",30.6,-87.9,0.005036122
33,"35601","Decatur","AL","205",48778,42002,"USA",34.6,-86.98333,0.005315569
34,"36732","Demopolis","AL","334",7512,7678,"USA",32.51667,-87.83334,0.005358605
35,"36301","Dothan","AL","334",53721,48750,"USA",31.21667,-85.4,0.00566637
36,"36330","Enterprise","AL","334",20119,18033,"USA",31.31667,-85.85,0.005781631
37,"36027","Eufaula","AL","334",13220,12097,"USA",31.9,-85.15,0.005857368
38,"35064","Fairfield","AL","205",12200,13242,"USA",33.46667,-86.91666,0.00592726
39,"36532","Fairhope","AL","334",8490,7286,"USA",30.51667,-87.9,0.005975899
40,"35630","Florence","AL","205",36426,37029,"USA",34.8,-87.68333,0.006184582
41,"35214","Forestdale","AL","205",10395,10814,"USA",33.56667,-86.9,0.006244135
42,"35967","Fort Payne","AL","205",11838,11485,"USA",34.43333,-85.71667,0.006311954
43,"36362","Fort Rucker","AL","205",7593,8932,"USA",31.33333,-85.71667,0.006355454
44,"35068","Fultondale","AL","205",6400,6217,"USA",33.61666,-86.8,0.006392119
45,"35901","Gadsden","AL","205",42523,47565,"USA",34.01667,-86.01667,0.006635732
46,"35071","Gardendale","AL","205",9251,8005,"USA",33.65,-86.81667,0.00668873
47,"36037","Greenville","AL","334",7494,7807,"USA",31.83333,-86.63333,0.006731663
48,"35976","Guntersville","AL","205",7038,7041,"USA",34.35,-86.3,0.006771983
49,"35570","Hamilton","AL","205",5787,5093,"USA",34.15,-87.98333,0.006805137
50,"35640","Hartselle","AL","205",10867,8858,"USA",34.45,-86.93333,0.006867393
51,"35209","Homewood","AL","205",23644,21412,"USA",33.48333,-86.78333,0.007002849
52,"35236","Hoover","AL","205",40000,18996,"USA",33.4,-86.8,0.007232007
53,"35023","Hueytown","AL","205",15280,13452,"USA",33.43333,-86.98333,0.007319545
54,"35801","Huntsville","AL","205",159880,142513,"USA",34.73333,-86.58334,0.00823549
55,"35210","Irondale","AL","205",9458,6510,"USA",33.53333,-86.7,0.008289674
56,"36545","Jackson","AL","334",5819,6073,"USA",31.51667,-87.88333,0.008323011
57,"36265","Jacksonville","AL","205",10283,9735,"USA",33.81667,-85.76667,0.008381922
58,"35501","Jasper","AL","205",13553,11894,"USA",33.83333,-87.28333,0.008459567
59,"36863","Lanett","AL","205",8985,8922,"USA",32.86666,-85.2,0.008511041
60,"35094","Leeds","AL","205",10009,8638,"USA",33.55,-86.55,0.008568383
61,"35758","Madison","AL","205",14792,4057,"USA",34.75,-86.75,0.008653125
62,"35228","Midfield","AL","205",5559,6182,"USA",33.45,-86.93333,0.008684972
63,"36054","Millbrook","AL","205",6046,3101,"USA",32.48333,-86.36667,0.00871961
64,"36601","Mobile","AL","334",196263,200452,"USA",30.68333,-88.05,0.009843991
65,"36460","Monroeville","AL","334",6993,5674,"USA",31.51667,-87.33334,0.009884054
66,"36104","Montgomery","AL","334",187543,177857,"USA",32.38334,-86.31667,0.01095848
67,"35223","Mountain Brook","AL","205",19810,19718,"USA",32.71667,-86.5,0.01107197
68,"35667","Muscle Shoals","AL","205",9611,8911,"USA",34.75,-87.65,0.01112703
69,"35476","Northport","AL","205",17297,14291,"USA",33.25,-87.63333,0.01122612
70,"36801","Opelika","AL","334",22122,21896,"USA",32.65,-85.38333,0.01135286
71,"36467","Opp","AL","334",7011,7204,"USA",31.28333,-86.26667,0.01139303
72,"36203","Oxford","AL","205",9537,8939,"USA",33.6,-85.85,0.01144766
73,"36360","Ozark","AL","334",13030,13188,"USA",31.46667,-85.65,0.01152231
74,"35124","Pelham","AL","205",9356,6759,"USA",33.3,-86.81667,0.01157591
75,"35125","Pell City","AL","205",7945,6616,"USA",33.58333,-86.28333,0.01162143
76,"36867","Phenix City","AL","334",25311,26928,"USA",32.46667,-85,0.01176643
77,"36272","Piedmont","AL","205",5347,5544,"USA",33.91667,-85.61667,0.01179707
78,"35126","Pinson-Clay-Chalkville","AL","205",10987,,"USA",,,0.01186001
79,"35127","Pleasant Grove","AL","205",8458,7102,"USA",33.5,-86.96667,0.01190847
80,"36067","Prattville","AL","334",19816,18647,"USA",32.46667,-86.48333,0.01202199
81,"36610","Prichard","AL","205",34320,39541,"USA",30.75,-88.1,0.01221861
82,"35906","Rainbow City","AL","205",7667,6299,"USA",33.95,-86.05,0.01226253
83,"36274","Roanoke","AL","334",6362,5809,"USA",33.15,-85.4,0.01229898
84,"35653","Russellville","AL","205",7812,8195,"USA",34.5,-87.73333,0.01234373
85,"36201","Saks","AL","205",11138,11118,"USA",33.71667,-85.85,0.01240754
86,"36571","Saraland","AL","205",11760,9833,"USA",30.83333,-88.06667,0.01247492
87,"36572","Satsuma","AL","205",5194,3822,"USA",30.85,-88.06667,0.01250467
88,"35768","Scottsboro","AL","205",13786,14758,"USA",34.66667,-86.03333,0.01258365
89,"36701","Selma","AL","334",23755,26684,"USA",32.41667,-87.01667,0.01271974
90,"35660","Sheffield","AL","205",10380,11903,"USA",34.76667,-87.68333,0.01277921
91,"35901","Southside","AL","205",5580,5141,"USA",33.85,-86.05,0.01281118
92,"35150","Sylacauga","AL","205",12520,12708,"USA",33.16667,-86.25,0.0128829
93,"35160","Talladega","AL","205",18175,19128,"USA",33.43333,-86.1,0.01298703
94,"36045","Tallassee","AL","334",5112,4763,"USA",32.53333,-85.9,0.01301631
95,"35217","Tarrant City","AL","205",8046,8148,"USA",33.58333,-86.76667,0.01306241
96,"36582","Theodore","AL","205",6509,6392,"USA",30.55,-88.16666,0.0130997
97,"36619","Tillman¿s Corner","AL","205",17988,15941,"USA",,,0.01320275
98,"36081","Troy","AL","334",13051,13124,"USA",31.8,-85.96667,0.01327752
99,"35173","Trussville","AL","205",8283,3507,"USA",33.61666,-86.63333,0.01332497
100,"35401","Tuscaloosa","AL","205",77866,75211,"USA",33.2,-87.56667,0.01377106
101,"35674","Tuscumbia","AL","205",8413,9137,"USA",34.73333,-87.7,0.01381926
102,"36083","Tuskegee","AL","334",12257,13327,"USA",32.41667,-85.7,0.01388948
103,"36854","Valley","AL","205",8215,8946,"USA",,,0.01393654
104,"35216","Vestavia Hills","AL","205",19550,15722,"USA",33.43333,-86.78333,0.01404854
105,"71923","Arkadelphia","AR","501",10014,10005,"USA",34.11666,-93.06667,0.01410591
106,"71822","Ashdown","AR","501",5150,4218,"USA",33.66667,-94.13333,0.01413542
107,"72501","Batesville","AR","501",9187,8447,"USA",35.78333,-91.6,0.01418805
108,"72714","Bella Vista","AR","501",9083,2589,"USA",36.46667,-94.25,0.01424009
109,"72015","Benton","AR","501",18177,17717,"USA",34.56667,-92.58334,0.01434422
110,"72712","Bentonville","AR","501",11257,8756,"USA",36.36666,-94.21667,0.01440871
111,"72315","Blytheville","AR","501",22523,23844,"USA",35.98333,-89.95,0.01453775
112,"72022","Bryant","AR","501",5269,2682,"USA",34.6,-92.5,0.01456793
113,"72023","Cabot","AR","501",8319,4806,"USA",34.98333,-92.01667,0.01461559
114,"71701","Camden","AR","501",14701,15356,"USA",33.58333,-92.83334,0.01469981
115,"72830","Clarksville","AR","501",5833,5237,"USA",35.46667,-93.46667,0.01473323
116,"72032","Conway","AR","501",26481,20375,"USA",35.08333,-92.43333,0.01488494
117,"71635","Crossett","AR","501",6282,6706,"USA",33.13334,-91.96667,0.01492093
118,"71639","Dumas","AR","501",5520,6091,"USA",33.88334,-91.5,0.01495255
119,"71730","El Dorado","AR","501",23146,25270,"USA",33.2,-92.66666,0.01508515
120,"72701","Fayetteville","AR","501",42247,36608,"USA",36.06667,-94.16666,0.01532718
121,"72335","Forrest City","AR","501",13364,13803,"USA",35.01667,-90.78333,0.01540374
122,"72901","Fort Smith","AR","501",72798,71626,"USA",35.41667,-94.41666,0.0158208
123,"72601","Harrison","AR","501",9936,9567,"USA",36.23333,-93.11667,0.01587772
124,"72543","Heber Springs","AR","501",5628,4589,"USA",35.5,-92.03333,0.01590997
125,"72342","Helena","AR","501",7491,9598,"USA",34.53333,-90.6,0.01595288
126,"71801","Hope","AR","501",9768,10290,"USA",33.66667,-93.6,0.01600884
127,"71901","Hot Springs","AR","501",32462,35781,"USA",34.5,-93.05,0.01619482
128,"71909","Hot Springs Village","AR","501",6361,2083,"USA",34.66667,-93.03333,0.01623126
129,"72076","Jacksonville","AR","501",29101,27589,"USA",34.86666,-92.11667,0.01639798
130,"72401","Jonesboro","AR","501",46535,31530,"USA",35.83333,-90.7,0.01666457
131,"72201","Little Rock","AR","501",175727,159151,"USA",34.75,-92.28333,0.01767131
132,"71753","Magnolia","AR","501",11151,11909,"USA",33.26667,-93.23333,0.01773519
133,"72104","Malvern","AR","501",9236,10163,"USA",34.36666,-92.81667,0.0177881
134,"72360","Marianna","AR","501",6033,6220,"USA",34.76667,-90.76667,0.01782266
135,"72113","Maumelle","AR","501",6714,1368,"USA",,,0.01786113
136,"71953","Mena","AR","501",5475,5154,"USA",34.58333,-94.25,0.01789249
137,"71655","Monticello","AR","501",8119,8259,"USA",33.63334,-91.78333,0.01793901
138,"72110","Morrilton","AR","501",6551,7355,"USA",35.15,-92.73333,0.01797654
139,"72653","Mountain Home","AR","501",9027,8066,"USA",36.33333,-92.38333,0.01802825
140,"72112","Newport","AR","501",7459,8339,"USA",35.61666,-91.26667,0.01807098
141,"72114","North Little Rock","AR","501",61829,64388,"USA",34.75,-92.26667,0.0184252
142,"72370","Osceola","AR","501",8930,8881,"USA",35.7,-89.96667,0.01847636
143,"72450","Paragould","AR","501",18540,15248,"USA",36.05,-90.48333,0.01858258
144,"71601","Pine Bluff","AR","501",57140,56636,"USA",34.21667,-92.01667,0.01890993
145,"72455","Pocahontas","AR","501",6151,5995,"USA",36.26667,-90.96667,0.01894517
146,"72756","Rogers","AR","501",24692,17429,"USA",36.33333,-94.11667,0.01908663
147,"72801","Russellville","AR","501",21260,14518,"USA",35.28333,-93.13333,0.01920842
148,"72143","Searcy","AR","501",15180,13612,"USA",35.25,-91.73333,0.01929539
149,"72120","Sherwood","AR","501",18878,10423,"USA",34.81667,-92.21667,0.01940354
150,"72761","Siloam Springs","AR","501",8151,7940,"USA",36.18333,-94.53333,0.01945024
151,"72764","Springdale","AR","501",29945,23458,"USA",36.18333,-94.13333,0.01962179
152,"72160","Stuttgart","AR","501",10420,10941,"USA",34.5,-91.55,0.01968149
153,"75502","Texarkana","AR","501",22631,21459,"USA",33.43333,-94.05,0.01981114
154,"72472","Trumann","AR","501",6346,6395,"USA",35.68333,-90.51667,0.01984749
155,"72956","Van Buren","AR","501",14899,12020,"USA",35.43333,-94.35,0.01993285
156,"71671","Warren","AR","501",6455,7646,"USA",33.61666,-92.06667,0.01996983
157,"72390","West Helena","AR","501",10137,11367,"USA",34.55,-90.63333,0.0200279
158,"72301","West Memphis","AR","501",28259,28138,"USA",35.15,-90.18333,0.0201898
159,"72396","Wynne","AR","501",8817,7927,"USA",35.23333,-90.78333,0.02024031
160,"85220","Apache Junction","AZ","602",18092,9935,"USA",33.41667,-111.55,0.02034396
161,"85323","Avondale","AZ","602",16182,8168,"USA",33.43333,-112.35,0.02043667
162,"85603","Bisbee","AZ","520",6288,7154,"USA",31.45,-109.9167,0.02047269
163,"85326","Buckeye","AZ","602",4436,3434,"USA",33.36666,-112.5833,0.0204981
164,"86430","Bullhead City","AZ","520",21951,10719,"USA",35.11666,-114.6,0.02062386
165,"86322","Camp Verde","AZ","520",6243,3824,"USA",34.56667,-111.85,0.02065962
166,"85222","Casa Grande","AZ","520",19076,14971,"USA",33,-111.5833,0.02076891
167,"85225","Chandler","AZ","602",89862,29673,"USA",33.3,-111.8333,0.02128373
168,"86503","Chinle","AZ","520",5059,2815,"USA",36.15,-109.55,0.02131271
169,"85228","Coolidge","AZ","520",6934,6851,"USA",32.98333,-111.5167,0.02135243
170,"86326","Cottonwood","AZ","520",5918,4550,"USA",34.75,-112.0167,0.02138634
171,"","Cottonwood-Verde Village","AZ","520",7037,,"USA",,,0.02142665
172,"85607","Douglas","AZ","520",13137,13058,"USA",31.35,-109.55,0.02150191
173,"85335","El Mirage","AZ","602",5001,4307,"USA",33.6,-112.3167,0.02153056
174,"85231","Eloy","AZ","520",7211,6240,"USA",32.75,-111.55,0.02157187
175,"86004","Flagstaff","AZ","520",45857,34743,"USA",35.2,-111.65,0.02183459
176,"85232","Florence","AZ","520",7321,3391,"USA",33.03333,-111.3833,0.02187653
177,"85726","Flowing Wells","AZ","520",14013,,"USA",,,0.02195681
178,"","Fortuna Foothills","AZ","520",7737,,"USA",,,0.02200113
179,"85266","Fountain Hills","AZ","602",10030,2771,"USA",33.6,-111.7333,0.02205859
180,"85234","Gilbert","AZ","602",29122,5717,"USA",33.35,-111.7833,0.02222543
181,"85301","Glendale","AZ","602",147864,97172,"USA",33.53333,-112.1833,0.02307254
182,"85501","Globe","AZ","520",6062,6886,"USA",33.38334,-110.8,0.02310727
183,"85338","Goodyear","AZ","602",6258,2747,"USA",32.95,-112.7167,0.02314312
184,"85622","Green Valley","AZ","520",13231,7999,"USA",31.88333,-110.9833,0.02321892
185,"85283","Guadalupe","AZ","602",5458,4506,"USA",33.36666,-111.9667,0.02325019
186,"86401","Kingman","AZ","520",12722,9257,"USA",35.2,-114.0667,0.02332307
187,"86403","Lake Havasu City","AZ","520",24363,15909,"USA",34.41667,-114.1333,0.02346265
188,"85201","Mesa","AZ","602",288104,152404,"USA",33.41667,-111.8333,0.02511318
189,"86440","Mohave Valley","AZ","520",6962,,"USA",,,0.02515307
190,"","New Kingman-Butler","AZ","520",11627,,"USA",,,0.02521968
191,"85621","Nogales","AZ","520",19489,15683,"USA",31.33333,-110.9333,0.02533133
192,"85737","Oro Valley","AZ","520",6670,1489,"USA",32.38334,-110.9667,0.02536954
193,"86040","Page","AZ","520",6598,4907,"USA",36.95,-111.45,0.02540734
194,"85253","Paradise Valley","AZ","602",11773,11085,"USA",33.55,-111.95,0.02547479
195,"85541","Payson","AZ","520",8377,5068,"USA",34.23333,-111.3333,0.02552278
196,"85345","Peoria","AZ","602",50675,12171,"USA",33.58333,-112.2333,0.02581309
197,"85026","Phoenix","AZ","602",983403,789704,"USA",33.45,-112.0667,0.03144696
198,"86301","Prescott","AZ","520",26592,19865,"USA",34.55,-112.4667,0.03159931
199,"86314","Prescott Valley","AZ","520",8904,2284,"USA",34.63334,-112.3333,0.03165032
200,"85546","Safford","AZ","520",7359,7010,"USA",32.83333,-109.7167,0.03169248
201,"85251","Scottsdale","AZ","602",130075,88622,"USA",33.48333,-111.9333,0.03243767
202,"86336","Sedona","AZ","520",7720,5319,"USA",34.86666,-111.7667,0.0324819
203,"85901","Show Low","AZ","520",5020,4298,"USA",34.25,-110.0333,0.03251066
204,"85635","Sierra Vista","AZ","520",32983,24937,"USA",31.55,-110.3,0.03269961
205,"85635","Sierra Vista Southeast","AZ","520",9237,,"USA",,,0.03275253
206,"85350","Somerton","AZ","520",5282,3969,"USA",32.6,-114.7167,0.03278279
207,"85713","South Tucson","AZ","520",5171,6554,"USA",32.2,-110.9667,0.03281242
